session,open_fill_id,close_fill_id,open_order_id,close_order_id,open_side,close_side,open_time_ms,close_time_ms,hold_time_ms,open_price,close_price,quantity,open_mid,close_mid,realized_pnl,open_spread_capture,close_spread_capture,inventory_pnl,open_fee,close_fee,total_fees,net_pnl
2026-05-06 18:00,fill-000001,fill-000002,ord-000112,ord-000161,sell,buy,1778092490865,1778092648801,157936,81352.01000000,81296.00000000,0.00007000,81350.00500000,81296.00500000,0.0039207000000000,0.0001403500000000,0.0000003500000000,0.0037800000000000,0.00113892814000000000,0.00113814400000000000,0.00227707214000000000,0.00164362786000000000
2026-05-06 18:00,fill-000002,fill-000004,ord-000161,ord-000378,buy,sell,1778092648801,1778093581037,932236,81296.00000000,81392.01000000,0.00056000,81296.00500000,81391.99500000,0.0537656000000000,0.0000028000000000,0.0000084000000000,0.0537544000000000,0.00910515200000000000,0.00911590512000000000,0.01822105712000000000,0.03554454288000000000
2026-05-06 19:00,fill-000001,fill-000004,ord-000183,ord-000260,buy,sell,1778094753437,1778095066593,313156,81245.71000000,81242.02000000,0.00007000,81246.05500000,81240.01500000,-0.0002583000000000,0.0000241500000000,0.0001403500000000,-0.0004228000000000,0.00113743994000000000,0.00113738828000000000,0.00227482822000000000,-0.00253312822000000000
2026-05-06 19:00,fill-000001,fill-000005,ord-000183,ord-000272,buy,sell,1778094753437,1778095150763,397326,81245.71000000,81282.00000000,0.00063000,81246.05500000,81279.99500000,0.0228627000000000,0.0002173500000000,0.0012631500000000,0.0213822000000000,0.01023695946000000000,0.01024153200000000000,0.02047849146000000000,0.00238420854000000000
2026-05-06 19:00,fill-000001,fill-000006,ord-000183,ord-000290,buy,sell,1778094753437,1778095222391,468954,81245.71000000,81322.00000000,0.00028000,81246.05500000,81321.19500000,0.0213612000000000,0.0000966000000000,0.0002254000000000,0.0210392000000000,0.00454975976000000000,0.00455403200000000000,0.00910379176000000000,0.01225740824000000000
2026-05-06 19:00,fill-000001,fill-000007,ord-000183,ord-000314,buy,sell,1778094753437,1778095348023,594586,81245.71000000,81372.00000000,0.00002000,81246.05500000,81370.97500000,0.0025258000000000,0.0000069000000000,0.0000205000000000,0.0024984000000000,0.00032498284000000000,0.00032548800000000000,0.00065047084000000000,0.00187532916000000000
2026-05-06 19:00,fill-000002,fill-000007,ord-000189,ord-000314,buy,sell,1778094766960,1778095348023,581063,81228.00000000,81372.00000000,0.00012000,81230.00500000,81370.97500000,0.0172800000000000,0.0002406000000000,0.0001230000000000,0.0169164000000000,0.00194947200000000000,0.00195292800000000000,0.00390240000000000000,0.01337760000000000000
2026-05-06 19:00,fill-000002,fill-000008,ord-000189,ord-000458,buy,sell,1778094766960,1778095958495,1191535,81228.00000000,81322.00000000,0.00088000,81230.00500000,81320.00500000,0.0827200000000000,0.0017644000000000,0.0017556000000000,0.0792000000000000,0.01429612800000000000,0.01431267200000000000,0.02860880000000000000,0.05411120000000000000
2026-05-06 19:00,fill-000003,fill-000008,ord-000227,ord-000458,buy,sell,1778094937323,1778095958495,1021172,81204.46000000,81322.00000000,0.00003000,81206.46500000,81320.00500000,0.0035262000000000,0.0000601500000000,0.0000598500000000,0.0034062000000000,0.00048722676000000000,0.00048793200000000000,0.00097515876000000000,0.00255104124000000000
2026-05-06 20:00,fill-000001,fill-000002,ord-000171,ord-000206,buy,sell,1778098490084,1778098693448,203364,81646.36000000,81672.00000000,0.00014000,81648.36500000,81669.99500000,0.0035896000000000,0.0002807000000000,0.0002807000000000,0.0030282000000000,0.00228609808000000000,0.00228681600000000000,0.00457291408000000000,-0.00098331408000000000
2026-05-06 20:00,fill-000001,fill-000005,ord-000171,ord-000404,buy,sell,1778098490084,1778099608027,1117943,81646.36000000,81314.58000000,0.00007000,81648.36500000,81312.53500000,-0.0232246000000000,0.0001403500000000,0.0001431500000000,-0.0235081000000000,0.00114304904000000000,0.00113840412000000000,0.00228145316000000000,-0.02550605316000000000
2026-05-06 20:00,fill-000001,fill-000006,ord-000171,ord-000412,buy,sell,1778098490084,1778099627766,1137682,81646.36000000,81333.47000000,0.00028000,81648.36500000,81331.47500000,-0.0876092000000000,0.0005614000000000,0.0005586000000000,-0.0887292000000000,0.00457219616000000000,0.00455467432000000000,0.00912687048000000000,-0.09673607048000000000
2026-05-06 20:00,fill-000001,fill-000008,ord-000171,ord-000600,buy,sell,1778098490084,1778100800140,2310056,81646.36000000,81333.00000000,0.00007000,81648.36500000,81332.97500000,-0.0219352000000000,0.0001403500000000,0.0000017500000000,-0.0220773000000000,0.00114304904000000000,0.00113866200000000000,0.00228171104000000000,-0.02421691104000000000
2026-05-06 20:00,fill-000001,fill-000009,ord-000171,ord-000608,buy,sell,1778098490084,1778100844715,2354631,81646.36000000,81350.00000000,0.00007000,81648.36500000,81349.99500000,-0.0207452000000000,0.0001403500000000,0.0000003500000000,-0.0208859000000000,0.00114304904000000000,0.00113890000000000000,0.00228194904000000000,-0.02302714904000000000
2026-05-06 20:00,fill-000003,fill-000009,ord-000291,ord-000608,buy,sell,1778099268529,1778100844715,1576186,81658.00000000,81350.00000000,0.00093000,81660.00500000,81349.99500000,-0.2864400000000000,0.0018646500000000,0.0000046500000000,-0.2883093000000000,0.01518838800000000000,0.01513110000000000000,0.03031948800000000000,-0.31675948800000000000
2026-05-06 21:00,fill-000001,fill-000002,ord-000090,ord-000175,sell,buy,1778102033695,1778102572715,539020,81356.04000000,81406.86000000,0.00007000,81354.03500000,81407.23500000,-0.0035574000000000,0.0001403500000000,0.0000262500000000,-0.0037240000000000,0.00113898456000000000,0.00113969604000000000,0.00227868060000000000,-0.00583608060000000000
2026-05-06 21:00,fill-000002,fill-000003,ord-000175,ord-000238,buy,sell,1778102572715,1778103097561,524846,81406.86000000,81452.00000000,0.00007000,81407.23500000,81449.99500000,0.0031598000000000,0.0000262500000000,0.0001403500000000,0.0029932000000000,0.00113969604000000000,0.00114032800000000000,0.00228002404000000000,0.00087977596000000000
2026-05-06 21:00,fill-000002,fill-000004,ord-000175,ord-000382,buy,sell,1778102572715,1778103797191,1224476,81406.86000000,81599.92000000,0.00014000,81407.23500000,81597.91500000,0.0270284000000000,0.0000525000000000,0.0002807000000000,0.0266952000000000,0.00227939208000000000,0.00228479776000000000,0.00456418984000000000,0.02246421016000000000
2026-05-06 21:00,fill-000002,fill-000005,ord-000175,ord-000402,buy,sell,1778102572715,1778103878568,1305853,81406.86000000,81559.31000000,0.00072000,81407.23500000,81558.47500000,0.1097640000000000,0.0002700000000000,0.0006012000000000,0.1088928000000000,0.01172258784000000000,0.01174454064000000000,0.02346712848000000000,0.08629687152000000000
2026-05-06 21:00,fill-000005,fill-000008,ord-000402,ord-000533,sell,buy,1778103878568,1778104479367,600799,81559.31000000,81613.99000000,0.00007000,81558.47500000,81615.99500000,-0.0038276000000000,0.0000584500000000,0.0001403500000000,-0.0040264000000000,0.00114183034000000000,0.00114259586000000000,0.00228442620000000000,-0.00611202620000000000
2026-05-06 22:00,fill-000001,fill-000002,ord-000109,ord-000458,buy,sell,1778105211764,1778106935390,1723626,81435.99000000,81302.74000000,0.00056000,81436.00500000,81300.73500000,-0.0746200000000000,0.0000084000000000,0.0011228000000000,-0.0757512000000000,0.00912083088000000000,0.00910590688000000000,0.01822673776000000000,-0.09284673776000000000
2026-05-06 22:00,fill-000001,fill-000004,ord-000109,ord-000664,buy,sell,1778105211764,1778108006844,2795080,81435.99000000,81372.00000000,0.00007000,81436.00500000,81369.99500000,-0.0044793000000000,0.0000010500000000,0.0001403500000000,-0.0046207000000000,0.00114010386000000000,0.00113920800000000000,0.00227931186000000000,-0.00675861186000000000
2026-05-06 22:00,fill-000003,fill-000004,ord-000533,ord-000664,buy,sell,1778107326540,1778108006844,680304,81310.30000000,81372.00000000,0.00007000,81312.30500000,81369.99500000,0.0043190000000000,0.0001403500000000,0.0001403500000000,0.0040383000000000,0.00113834420000000000,0.00113920800000000000,0.00227755220000000000,0.00204144780000000000
