session,fill_id,order_id,side,price,quantity,placed_time_ms,fill_time_ms,time_from_place_to_fill_ms,mid_at_placed,mid_at_fill,quoted_distance,quoted_distance_bps,fill_edge,fill_edge_bps,pre_fill_mid_move,pre_fill_mid_move_bps,book_spread_at_fill,book_spread_bps_at_fill,volatility_bps_at_fill,quote_position_at_fill
2026-04-12 09:00,fill-000001,ord-000033,buy,71546.00000000,0.001,1775984603214,1775984603985,771,71548.00500000,71548.00500000,2.00500000,0.2802314334271095329632181918,2.00500000,0.2802314334271095329632181918,0.00000000,0,0.01000000,0.001397663009611518867646973525,3.127293,behind_best
2026-04-12 09:00,fill-000002,ord-000135,buy,71576.00000000,0.00009000,1775985070014,1775985097080,27066,71578.00500000,71578.00500000,2.00500000,0.2801139819417990205231341667,2.00500000,0.2801139819417990205231341667,0.00000000,0,0.01000000,0.001397077216667326785651541979,0.145785,behind_best
2026-04-12 09:00,fill-000003,ord-000194,sell,71612.00000000,0.00096000,1775985741414,1775985743345,1931,71609.99500000,71611.99500000,2.00500000,0.2799888479254886137053912656,0.00500000,0.0006982070531619737726898964342,-2.00000000,-0.2792906213720584675365498908,0.01000000,0.001396414106323947545379792868,0.542535,at_best
2026-04-12 09:00,fill-000004,ord-000295,buy,71610.00000000,0.001,1775986605714,1775986621009,15295,71612.00500000,71612.00500000,2.00500000,0.2799809892210111977733342336,2.00500000,0.2799809892210111977733342336,0.00000000,0,0.01000000,0.001396413911326739141014135828,0.141827,behind_best
2026-04-12 09:00,fill-000005,ord-000299,buy,71596.62000000,0.001,1775986626014,1775986737719,111705,71598.62500000,71598.62500000,2.00500000,0.2800333106955615418592186652,2.00500000,0.2800333106955615418592186652,0.00000000,0,0.01000000,0.001396674866312027640195604315,0.0,behind_best
2026-04-12 09:00,fill-000006,ord-000390,sell,71524.00000000,0.00014000,1775987362114,1775987367312,5198,71521.99500000,71521.99500000,2.00500000,0.2803333436098923135463433312,2.00500000,0.2803333436098923135463433312,-0.00000000,-0,0.01000000,0.001398171289824899319433133821,0.702012,behind_best
2026-04-12 09:00,fill-000007,ord-000390,sell,71524.00000000,0.00086000,1775987362114,1775987367322,5208,71521.99500000,71523.99500000,2.00500000,0.2803333436098923135463433312,0.00500000,0.0006990660966295297123713517401,-2.00000000,-0.2796342579649798638866267643,0.01000000,0.001398132193259059424742703480,0.701869,at_best
2026-04-12 10:00,fill-000001,ord-000050,sell,71535.33000000,0.00008000,1775988308314,1775988308456,142,71533.32500000,71533.32500000,2.00500000,0.2802889422517407096622448348,2.00500000,0.2802889422517407096622448348,-0.00000000,-0,0.01000000,0.001397949836667035958415186209,0.320976,behind_best
2026-04-12 10:00,fill-000002,ord-000173,buy,71636.00000000,0.00014000,1775989512314,1775989512531,217,71638.00500000,71638.00500000,2.00500000,0.2798793740836306091996838829,2.00500000,0.2798793740836306091996838829,0.00000000,0,0.01000000,0.001395907102661499297754034329,0.125223,behind_best
2026-04-12 10:00,fill-000003,ord-000181,buy,71635.99000000,0.00048000,1775989582615,1775989583315,700,71637.99500000,71636.00500000,2.00500000,0.2798794131521966799880426581,0.01500000,0.002093919112323474766634459864,-1.99000000,-0.2777855522059208943522218901,0.01000000,0.001395946074882316511089639909,0.425224,behind_best
