window,hours,run_dir,depth_diff_events,trade_events,same_ms_overlap_timestamps,same_ms_depth_events,same_ms_trade_events,total_fills,same_ms_overlap_fills,same_ms_overlap_fill_share_pct,same_ms_trade_price_touch_fill_candidates,wrong_attribution_cases,wrong_attribution_share_of_overlap_fills_pct,escalates
2026-04-12 09:00,5,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,179987,106483,439,439,708,56,0,0,0,0,0,False
2026-04-12 15:00,5,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000,179989,90545,460,460,818,35,0,0,0,0,0,False
2026-04-13 02:00,5,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000,179991,113333,474,474,895,48,0,0,0,0,0,False
2026-04-13 07:00,5,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000,179990,106556,481,481,880,50,0,0,0,0,0,False
2026-04-13 12:00,5,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,179976,339339,1009,1009,2759,143,3,2.097902097902097902097902098,1,0,0,False
2026-04-14 02:00,5,btcusdt_microprice_20260414_02_5h_5sessions_hs2.00_rq5000,179989,127497,564,564,980,58,1,1.724137931034482758620689655,0,0,0,False
2026-04-14 12:00,5,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,179963,418038,1302,1302,3644,168,1,0.5952380952380952380952380952,0,0,0,False
2026-04-15 00:00,5,btcusdt_microprice_20260415_00_5h_5sessions_hs2.00_rq5000,179965,134288,461,461,1088,57,1,1.754385964912280701754385965,0,0,0,False
2026-04-15 05:00,5,btcusdt_microprice_20260415_05_5h_5sessions_hs2.00_rq5000,179961,154151,575,575,1421,77,1,1.298701298701298701298701299,1,0,0,False
2026-04-15 12:00,5,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,179970,261195,744,744,2203,154,0,0,0,0,0,False
2026-04-16 12:00,5,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000,179964,328224,1082,1082,2253,144,0,0,0,0,0,False
2026-04-16 17:00,5,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000,179994,233955,871,871,2119,157,1,0.6369426751592356687898089172,1,0,0,False
2026-04-17 05:00,5,btcusdt_microprice_20260417_05_5h_5sessions_hs2.00_rq5000,179990,194639,848,848,1855,96,0,0,0,0,0,False
2026-04-17 12:00,5,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000,179973,549385,1754,1754,4478,151,0,0,0,0,0,False
2026-04-18 13:00,5,btcusdt_microprice_20260418_13_5h_5sessions_hs2.00_rq5000,179988,128203,624,624,1255,46,0,0,0,0,0,False
2026-04-18 19:00,5,btcusdt_microprice_20260418_19_5h_5sessions_hs2.00_rq5000,179981,75722,339,339,581,36,1,2.777777777777777777777777778,0,0,0,False
2026-04-19 13:00,5,btcusdt_microprice_20260419_13_5h_5sessions_hs2.00_rq5000,179968,236895,844,844,2214,91,1,1.098901098901098901098901099,1,0,0,False
2026-04-20 03:00,5,btcusdt_microprice_20260420_03_5h_5sessions_hs2.00_rq5000,179990,156652,616,616,1532,72,2,2.777777777777777777777777778,2,0,0,False
2026-04-20 13:00,5,btcusdt_microprice_20260420_13_5h_5sessions_hs2.00_rq5000,179986,305235,883,883,2430,108,1,0.9259259259259259259259259259,0,0,0,False
2026-05-06 18:00,5,btcusdt_microprice_20260506_18_5h_5sessions_hs2.00_rq5000,163604,95120,373,373,660,47,0,0,0,0,0,False
2026-05-07 16:00,5,btcusdt_microprice_20260507_16_5h_5sessions_hs2.00_rq5000,179989,169534,525,525,1153,121,0,0,0,0,0,False
2026-05-08 07:00,5,btcusdt_microprice_20260508_07_5h_5sessions_hs2.00_rq5000,179987,126064,521,521,827,57,0,0,0,0,0,False
2026-05-09 07:00,5,btcusdt_microprice_20260509_07_5h_5sessions_hs2.00_rq5000,179980,66880,385,385,612,21,0,0,0,0,0,False
2026-05-09 13:00,5,btcusdt_microprice_20260509_13_5h_5sessions_hs2.00_rq5000,179984,93154,439,439,669,37,1,2.702702702702702702702702703,1,0,0,False
