window,horizon,horizon_ms,signal,n,alpha,beta,r2,t_stat,hac_lags,x_mean,y_mean_bps,x_std,y_std_bps,predicted_drift_1std_bps
2026-04-12 09:00,1s,1000,normalized_ofi,17997,-0.00853757634966781,0.10120179319197424,0.017460871219073026,4.487925405319447,12,0.008248769396878694,-0.007702786095076607,0.6846839359683374,0.5243791216669266,0.06929124208973461
2026-04-12 09:00,10s,10000,normalized_ofi,17988,-0.06125017838164382,0.22701111425985068,0.007944037441885099,5.199917067689626,12,0.008250296164347186,-0.059377269456401593,0.6848260978783485,1.7442421679960867,0.15546313555358945
2026-04-12 09:00,1m,60000,normalized_ofi,17938,-0.3523444434887188,0.20886064701430265,0.001149875006910328,3.1043426167836463,60,0.007829614714064119,-0.35070914509366663,0.6843966380900053,4.215403670281522,0.14294352464589202
2026-04-12 09:00,5m,300000,normalized_ofi,17698,-1.6298353993160855,0.1380007181509977,0.0001206703481085869,1.0056052026546756,300,0.007982544412332895,-1.6287338024545113,0.6800071292322614,8.542687693586338,0.09384147218185038
2026-04-12 09:00,1s,1000,raw_ofi,17997,-0.00790650174317772,0.02096507673146992,0.015701840011704382,4.653242123987179,12,0.009716904484080552,-0.007702786095076607,3.134181981521308,0.5243791216669266,0.06570836573298466
2026-04-12 09:00,10s,10000,raw_ofi,17988,-0.059855137459670596,0.04924282819241392,0.007832924170122713,5.934290002655254,12,0.009704316766733249,-0.059377269456401593,3.1349148898410713,1.7442421679960867,0.1543720753182841
2026-04-12 09:00,1m,60000,raw_ofi,17938,-0.35108954249124574,0.04876432796608785,0.0013153045706776334,3.9664596931014544,60,0.007800730850707866,-0.35070914509366663,3.1350905611092976,4.215403670281522,0.15288058432532017
2026-04-12 09:00,5m,300000,raw_ofi,17698,-1.6289888996195028,0.04001293281683345,0.00021158506304452818,1.350751298727419,300,0.00637536783817368,-1.6287338024545113,3.1055365664986616,8.542687693586338,0.12426162599553058
2026-04-12 15:00,1s,1000,normalized_ofi,17997,0.0028459698183363764,0.08315640435230508,0.019078840458275126,10.65247902391964,12,0.0031305669610012456,0.003106296510397363,0.5777615542403014,0.34783105464272634,0.04804457342362275
2026-04-12 15:00,10s,10000,normalized_ofi,17988,0.025260317728270587,0.2533113606061032,0.015133679121707377,9.948053436259721,12,0.0031383440130737118,0.02605529592027231,0.5779044366057119,1.1899766386542459,0.1463897591368964
2026-04-12 15:00,1m,60000,normalized_ofi,17938,0.15345969756396607,0.2991482638971378,0.0029660629314119946,5.3126205959384025,60,0.0031676057030496536,0.15440728131074405,0.5786968334080758,3.1786844111331867,0.17311615303679703
2026-04-12 15:00,5m,300000,normalized_ofi,17698,0.7497609090742718,0.2127334518504207,0.00036996672084388393,1.9934257074798958,300,0.003117212946388796,0.75042404454451,0.5816444873994694,6.4329781060725475,0.12373523955425765
2026-04-12 15:00,1s,1000,raw_ofi,17997,0.0027878493648261712,0.018523416756340286,0.01877511117262598,10.703708281336063,12,0.01719159859976655,0.003106296510397363,2.5729924640036397,0.34783105464272634,0.0476606117216623
2026-04-12 15:00,10s,10000,raw_ofi,17988,0.02510149531136068,0.055395239399976634,0.014353615778505469,9.925085556942737,12,0.017218097064709736,0.02605529592027231,2.5736331996446196,1.1899766386542459,0.14256702722204156
