block_start,session_start,fill_id,order_id,side,fill_timestamp_ms,fill_price,quantity,is_maker,horizon,horizon_ms,interval_start_ms,book_timestamp_ms,future_timestamp_ms,mid_at_fill,future_mid,raw_ofi,normalized_ofi,side_aligned_ofi,side_normalized_mid_move_bps
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,1s,1000,1775984602985,1775984603914,1775984605014,71548.00500000,71546.00500000,0.00990000,0.002395046753006086079915694354,0.002395046753006086079915694354,-0.2795326019223037735293947050
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,10s,10000,1775984602985,1775984603914,1775984614014,71548.00500000,71555.36500000,0.00990000,0.002395046753006086079915694354,0.002395046753006086079915694354,1.028679975074077886588172514
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,30s,30000,1775984602985,1775984603914,1775984634015,71548.00500000,71554.99500000,0.00990000,0.002395046753006086079915694354,0.002395046753006086079915694354,0.9769664437184516884852344940
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,1m,60000,1775984602985,1775984603914,1775984664015,71548.00500000,71554.99500000,0.00990000,0.002395046753006086079915694354,0.002395046753006086079915694354,0.9769664437184516884852344940
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,5m,300000,1775984602985,1775984603914,1775984904014,71548.00500000,71569.07500000,0.00990000,0.002395046753006086079915694354,0.002395046753006086079915694354,2.944875961251470254132173217
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,1s,1000,1775985096080,1775985097014,1775985098116,71578.00500000,71575.38500000,-0.00240000,-0.0003278236199650048285687357346,-0.0003278236199650048285687357346,-0.3660342307668396178407039984
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,10s,10000,1775985096080,1775985097014,1775985107114,71578.00500000,71575.38500000,-0.00240000,-0.0003278236199650048285687357346,-0.0003278236199650048285687357346,-0.3660342307668396178407039984
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,30s,30000,1775985096080,1775985097014,1775985127114,71578.00500000,71572.14500000,-0.00240000,-0.0003278236199650048285687357346,-0.0003278236199650048285687357346,-0.8186872489670534963918035994
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,1m,60000,1775985096080,1775985097014,1775985157114,71578.00500000,71572.14500000,-0.00240000,-0.0003278236199650048285687357346,-0.0003278236199650048285687357346,-0.8186872489670534963918035994
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,5m,300000,1775985096080,1775985097014,1775985397116,71578.00500000,71585.33500000,-0.00240000,-0.0003278236199650048285687357346,-0.0003278236199650048285687357346,1.024057599817150533882580270
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000194,sell,1775985743345,71612.00000000,0.00096000,True,1s,1000,1775985742345,1775985743314,1775985744414,71611.99500000,71613.99500000,13.31528000,1.857576863909791323798763157,-1.857576863909791323798763157,-0.2792828212647895090759585737
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000194,sell,1775985743345,71612.00000000,0.00096000,True,10s,10000,1775985742345,1775985743314,1775985753414,71611.99500000,71618.54500000,13.31528000,1.857576863909791323798763157,-1.857576863909791323798763157,-0.9146512396421856422237643289
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000194,sell,1775985743345,71612.00000000,0.00096000,True,30s,30000,1775985742345,1775985743314,1775985773414,71611.99500000,71618.54500000,13.31528000,1.857576863909791323798763157,-1.857576863909791323798763157,-0.9146512396421856422237643289
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000194,sell,1775985743345,71612.00000000,0.00096000,True,1m,60000,1775985742345,1775985743314,1775985803416,71611.99500000,71600.03500000,13.31528000,1.857576863909791323798763157,-1.857576863909791323798763157,1.670111271163441264274232271
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000194,sell,1775985743345,71612.00000000,0.00096000,True,5m,300000,1775985742345,1775985743314,1775986043414,71611.99500000,71622.90500000,13.31528000,1.857576863909791323798763157,-1.857576863909791323798763157,-1.523487789999426772009354020
2026-04-12 09:00,2026-04-12 09:00,fill-000004,ord-000295,buy,1775986621009,71610.00000000,0.001,True,1s,1000,1775986620009,1775986620914,1775986622014,71612.00500000,71600.28500000,0.06434000,0.009321411662166774745204123558,0.009321411662166774745204123558,-1.636597104074938273268567191
