execution_model_version,equal_timestamp_policy,snapshot_time_policy,trade_gap_policy,entry_latency_ms,entry_jitter_ms,cancel_latency_ms,cancel_jitter_ms,latency_seed,post_only,queue_cancellation_credit,legacy_queue_cancellation_mode,window,run_dir,row_type,endpoint_sensitive,current_maker_fee_bps,net_pnl,gross_before_fees,current_fees,fee_notional,break_even_maker_fee_bps,required_rebate_bps,lot_count,total_quantity,quantity_weighted_net_per_btc
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T09:00:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-0.39913170850000000000,-0.06873450000000000000,0.33039720850000000000,1651.9860425000000000,-0.4160719172662138275904955172,0.4160719172662138275904955172,,0.02316000,-17.23366617012089810017271157
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T09:00:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-0.39144588776000000000,-0.1321060000000000,0.25933988776000000000,1296.6994388000000000,-1.018786590377908938137191396,1.018786590377908938137191396,32,0.00909000,-43.06335398899889988998899890
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T09:00:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,-0.35852299148000000000,-0.1031874000000000,0.25533559148000000000,1276.6779574000000000,-0.8082492487780145016546206408,0.8082492487780145016546206408,30,0.00895000,-40.05843480223463687150837989
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T09:00:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-0.41097345548000000000,-0.1945474000000000,0.21642605548000000000,1082.1302774000000000,-1.797818655138573983310301932,1.797818655138573983310301932,28,0.00759000,-54.14670032674571805006587615
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T15:00:00,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-0.17903049696000000000,0.02059860000000000000,0.19962909696000000000,998.1454848000000000,0.2063687139167630886827611285,0,,0.01408000,-12.71523415909090909090909091
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T15:00:00,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-0.09230922692000000000,0.0375038000000000,0.12981302692000000000,649.0651346000000000,0.5778125799826315304904685909,0,13,0.00458000,-20.15485303930131004366812227
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T15:00:00,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,-0.06089800836000000000,0.0598110000000000,0.12070900836000000000,603.5450418000000000,0.9909948033310146232071987175,0,12,0.00426000,-14.29530712676056338028169014
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-12T15:00:00,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-0.09794831132000000000,0.0103066000000000,0.10825491132000000000,541.2745566000000000,0.1904135318079719249083211017,0,11,0.00382000,-25.64091919371727748691099476
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T02:00:00,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-0.33821155632000000000,-0.12600050000000000000,0.21221105632000000000,1061.0552816000000000,-1.187501746468852410451071073,1.187501746468852410451071073,,0.01494000,-22.63798904417670682730923695
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T02:00:00,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-0.12033839884000000000,0.0069042000000000,0.12724259884000000000,636.2129942000000000,0.1085202607136564517531195058,0,21,0.00448000,-26.86124974107142857142857143
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T02:00:00,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,-0.09882639884000000000,0.0238642000000000,0.12269059884000000000,613.4529942000000000,0.3890143209932677185716799294,0,20,0.00432000,-22.87648121296296296296296296
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T02:00:00,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-0.14092278284000000000,-0.0273358000000000,0.11358698284000000000,567.9349142000000000,-0.4813192377599383728819537329,0.4813192377599383728819537329,19,0.00400000,-35.230695710000
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T07:00:00,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-0.44514689384000000000,-0.20005040000000000000,0.24509649384000000000,1225.4824692000000000,-1.632421556634700164505625390,1.632421556634700164505625390,,0.01732000,-25.70132181524249422632794457
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T07:00:00,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-0.46667800576000000000,-0.3596640000000000,0.10701400576000000000,535.0700288000000000,-6.721811737551763243144296256,6.721811737551763243144296256,21,0.00378000,-123.4597898835978835978835979
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T07:00:00,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,-0.38809763776000000000,-0.2912640000000000,0.09683363776000000000,484.1681888000000000,-6.015760777714275143224775200,6.015760777714275143224775200,20,0.00342000,-113.4788414502923976608187135
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T07:00:00,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-0.39694767728000000000,-0.3023784000000000,0.09456927728000000000,472.8463864000000000,-6.394854834402938772252400151,6.394854834402938772252400151,19,0.00334000,-118.8466099640718562874251497
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-10.51427717764000000000,-9.63318020000000000000,0.88109697764000000000,4405.4848882000000000,-21.86633354662564746282132077,21.86633354662564746282132077,,0.06144000,-171.1308134381510416666666667
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-1.70592603200000000000,-1.1311990000000000,0.57472703200000000000,2873.6351600000000000,-3.936473967697416397146254293,3.936473967697416397146254293,76,0.02004000,-85.12604950099800399201596806
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,-1.27616577930000000000,-0.7274755000000000,0.54869027930000000000,2743.4513965000000000,-2.651679927437708481379323754,2.651679927437708481379323754,72,0.01913000,-66.71018187663355985363303711
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-1.55656278154000000000,-1.0467843000000000,0.50977848154000000000,2548.8924077000000000,-4.106820267649385254198935013,4.106820267649385254198935013,68,0.01777000,-87.59497926505346088913899831
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-14T02:00:00,btcusdt_microprice_20260414_02_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-1.02725722960000000000,-0.64622745000000000000,0.38102977960000000000,1905.1488980000000000,-3.392004953935101822156894742,3.392004953935101822156894742,,0.02561000,-40.11156695040999609527528309
