session,label,n_fills,avg_spread,median_spread,avg_spread_bps,inside_spread,at_best,behind_best,crossed,unknown
2026-05-07 16:00,"[0,1)bps",2,0.01000000,0.01,0.001252566981903122079014246652,0,0,2,0,0
2026-05-07 16:00,"[1,2)bps",13,0.01000000,0.01,0.001252026671283900007834937106,0,2,11,0,0
2026-05-07 16:00,"[2,5)bps",20,0.01000000,0.01,0.001252988846291082040804006728,0,3,17,0,0
2026-05-07 16:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-07 16:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-07 17:00,"[0,1)bps",6,0.01000000,0.01,0.001251697343813273973843933280,0,0,6,0,0
2026-05-07 17:00,"[1,2)bps",18,0.01000000,0.01,0.001251821169185644159082058984,0,3,15,0,0
2026-05-07 17:00,"[2,5)bps",7,0.01000000,0.01,0.001252448775487200181207867610,0,1,6,0,0
2026-05-07 17:00,"[5,10)bps",8,0.01000000,0.01,0.001255473179303397330297672148,0,2,6,0,0
2026-05-07 17:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-07 18:00,"[0,1)bps",4,0.01000000,0.01,0.001247381250120131596807457717,0,0,4,0,0
2026-05-07 18:00,"[1,2)bps",2,0.01000000,0.01,0.001247629489035449748770891624,0,0,2,0,0
2026-05-07 18:00,"[2,5)bps",4,0.01000000,0.01,0.001248335913694142973782889580,0,0,4,0,0
2026-05-07 18:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-07 18:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-07 19:00,"[0,1)bps",8,0.01000000,0.01,0.001248790298732355937056619681,0,2,6,0,0
2026-05-07 19:00,"[1,2)bps",12,0.01000000,0.01,0.001248429410589001952162494851,0,2,10,0,0
2026-05-07 19:00,"[2,5)bps",3,0.01000000,0.01,0.001247847541500424274072198789,0,1,2,0,0
2026-05-07 19:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-05-07 19:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-05-07 20:00,"[0,1)bps",4,0.01000000,0.01,0.001248170446837905032365906186,0,0,4,0,0
2026-05-07 20:00,"[1,2)bps",2,0.01000000,0.01,0.001247002010088851520524210264,0,0,2,0,0
2026-05-07 20:00,"[2,5)bps",5,0.01000000,0.01,0.001246761312688298679103419702,0,3,2,0,0
2026-05-07 20:00,"[5,10)bps",3,0.01000000,0.01,0.001245386938138931563563464084,0,1,2,0,0
2026-05-07 20:00,"[10,inf)bps",0,,,,0,0,0,0,0
