queue_cancellation_mode,window,run_dir,row_type,endpoint_sensitive,current_maker_fee_bps,net_pnl,gross_before_fees,current_fees,fee_notional,break_even_maker_fee_bps,required_rebate_bps,lot_count,total_quantity,quantity_weighted_net_per_btc
proportional,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,full_strategy,True,2,-11.37220505848764408798520268,-10.27053144186382117211414378,1.101673616623822915871058898,5508.36808311911457935529449,-18.64532523405394977649761460,18.64532523405394977649761460,,0.07686047631870442493326419511,-147.9590760188947028083230361
proportional,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,full_matched_lots,False,2,-3.472174035360566871402258477,-2.579341643188329512276174489,0.8928323921722373591260839835,4464.161960861186795630419918,-5.777885448158663237241140099,5.777885448158663237241140099,123,0.03114698061685102835820552274,-111.4770666881933223199793750
proportional,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,matched_tail_excluded_worst_5pct,False,2,-2.845826440373641370515389401,-1.982860771506553703683548447,0.8629656688670876668318409511,4314.828344335438334159204756,-4.595456906436796278596039800,4.595456906436796278596039800,117,0.03010479187462909747531400747,-94.53067977433752108621658685
proportional,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,matched_body_only_ex_worst_best_5pct,False,2,-2.963192479769371141125119005,-2.112306059048983040467770187,0.8508864207203881006573488138,4254.432103601940503286744069,-4.964954211540092679623995143,4.964954211540092679623995143,111,0.02968139823814821956914012142,-99.83331836304489833284921806
proportional,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,full_strategy,True,2,-0.736617841596425501458861211,0.398205004109331713436517899,1.134822845705757214895379110,5674.11422852878607447689555,0.7017923645371876543800346361,0,,0.07546434270258928534451955312,-9.761137713734451312339483203
proportional,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,full_matched_lots,False,2,-1.832986176838103249294802771,-1.037468030405258207104167446,0.7955181464328450421906353236,3977.590732164225210953176618,-2.608282501303916535533490277,2.608282501303916535533490277,104,0.02642747980921323914337553872,-69.35909856221255299085250006
proportional,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,matched_tail_excluded_worst_5pct,False,2,-1.011465387437840387071000243,-0.2500228890518534572023808481,0.7614424983859869298686193948,3807.212491929934649343096974,-0.6567085225261829396555736528,0.6567085225261829396555736528,99,0.02529216113152254771039547609,-39.99125982861203549445821551
proportional,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,matched_body_only_ex_worst_best_5pct,False,2,-2.466358093437840387071000242,-1.771192889051853457202380847,0.6951652043859869298686193948,3475.826021929934649343096974,-5.095746673961568565986664642,5.095746673961568565986664642,94,0.02308216113152254771039547609,-106.8512640295893402625201456
proportional,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,full_strategy,True,2,0.9214505283333979901052004052,1.977840489118634354452598600,1.056389960785236364347398195,5281.949803926181821736990975,3.744527234333928880975927603,0,,0.07131151615177117917990536188,12.92148278508466025403321768
proportional,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,full_matched_lots,False,2,0.7630404000411121466553357939,1.520888541315269137971094296,0.7578481412741569913157585041,3789.240706370784956578792520,4.013702636410047797567774341,0,113,0.02558243102384144938777438660,29.82673536107649601954129848
