window,horizon,label,n,avg_microprice_deviation_bps,avg_forward_drift_bps,median_forward_drift_bps
2026-04-13 12:00,1s,<-0.5bps,1,-0.8214298465910312327615089930,7.408108390376211566497614324,7.408108390376211566497614324
2026-04-13 12:00,1s,"[-0.5,-0.1)bps",2,-0.1076609395267266488179503334,-2.275466365689106099283534146,-2.275466365689106099283534146
2026-04-13 12:00,1s,"[-0.1,0.1)bps",17990,0.00001801278853388612073350801887,0.01248570257891009041855163976,0
2026-04-13 12:00,1s,"[0.1,0.5)bps",5,0.2218253708833650097996366128,0.3214197011680339794224117124,0.5447114904165345915889422729
2026-04-13 12:00,1s,>=0.5bps,0,,,
2026-04-13 12:00,10s,<-0.5bps,1,-0.8214298465910312327615089930,14.52482371244715611222527710,14.52482371244715611222527710
2026-04-13 12:00,10s,"[-0.5,-0.1)bps",2,-0.1076609395267266488179503334,0.544280937157220439193988620,0.544280937157220439193988620
2026-04-13 12:00,10s,"[-0.1,0.1)bps",17981,0.00001820056567362696409088995705,0.1031586075372187580115064958,0
2026-04-13 12:00,10s,"[0.1,0.5)bps",5,0.2218253708833650097996366128,-2.04583039365287554015898707,-0.4166192628723334364198945312
2026-04-13 12:00,10s,>=0.5bps,0,,,
2026-04-13 12:00,1m,<-0.5bps,1,-0.8214298465910312327615089930,26.69608802704407859515479171,26.69608802704407859515479171
2026-04-13 12:00,1m,"[-0.5,-0.1)bps",2,-0.1076609395267266488179503334,3.848811712893091818760595031,3.848811712893091818760595031
2026-04-13 12:00,1m,"[-0.1,0.1)bps",17931,0.00001795581149801873680460371246,0.6151056748693422105752902459,0.4706505190836601488299983172
2026-04-13 12:00,1m,"[0.1,0.5)bps",5,0.2218253708833650097996366128,-0.7687097562205150126281737984,2.277241114747734412552030757
2026-04-13 12:00,1m,>=0.5bps,0,,,
2026-04-13 12:00,5m,<-0.5bps,1,-0.8214298465910312327615089930,41.71123661404336671348335266,41.71123661404336671348335266
2026-04-13 12:00,5m,"[-0.5,-0.1)bps",2,-0.1076609395267266488179503334,17.30707261790154587399520625,17.30707261790154587399520625
2026-04-13 12:00,5m,"[-0.1,0.1)bps",17691,0.00001908646225191605285631326533,3.017521835803779290761783898,2.358390255253979070052195743
2026-04-13 12:00,5m,"[0.1,0.5)bps",5,0.2218253708833650097996366128,7.17758700959699502201441948,-3.203976821603584841577170790
2026-04-13 12:00,5m,>=0.5bps,0,,,
2026-04-14 12:00,1s,<-0.5bps,0,,,
