strategy,avg_oos_sharpe,avg_oos_return,window_win_rate,in_sample_sharpe,overfit_ratio,unique_params
Momentum,0.24255477371642675,3.017612761944445,0.5555555555555556,0.36,0.6737632603234077,2
MeanReversion,0.510377824836638,2.6052420133333367,0.7777777777777778,0.39,1.3086610893247126,1
SMA,0.21793125177240644,1.8551411152777793,0.5555555555555556,0.39,0.5587980814677088,4
Bollinger,0.32551626480014245,2.553934035277772,0.8888888888888888,0.2,1.6275813240007122,3
