session,fill_id,order_id,side,price,quantity,placed_time_ms,fill_time_ms,time_from_place_to_fill_ms,mid_at_placed,mid_at_fill,quoted_distance,quoted_distance_bps,fill_edge,fill_edge_bps,pre_fill_mid_move,pre_fill_mid_move_bps,book_spread_at_fill,book_spread_bps_at_fill,volatility_bps_at_fill,quote_position_at_fill
2026-04-13 02:00,fill-000001,ord-000010,sell,71258.69000000,0.00008000,1776045626214,1776045627709,1495,71256.68500000,71256.68500000,2.00500000,0.2813771086881181744561931277,2.00500000,0.2813771086881181744561931277,-0.00000000,-0,0.01000000,0.001403377100688868700529641535,2.080344,behind_best
2026-04-13 02:00,fill-000002,ord-000036,sell,71220.96000000,0.00008000,1776045716214,1776045717115,901,71218.95500000,71220.94500000,2.00500000,0.2815261751594080536565019804,0.01500000,0.002106122012281639902419154927,-1.99000000,-0.2794199942978663475194209182,0.01000000,0.001404081341521093268279436618,1.011357,behind_best
2026-04-13 02:00,fill-000003,ord-000069,buy,71178.00000000,0.001,1776045851514,1776045855016,3502,71180.00500000,71178.00500000,2.00500000,0.2816802274739935744595690883,0.00500000,0.0007024641952243533659028515902,-2.00000000,-0.2809777830164524433511911105,0.01000000,0.001404928390448706731805703180,1.074341,at_best
2026-04-13 02:00,fill-000004,ord-000217,buy,71042.00000000,0.001,1776046451614,1776046453526,1912,71044.00500000,71042.00500000,2.00500000,0.2822194497621579751873504316,0.00500000,0.0007038089648511468672653594166,-2.00000000,-0.2815156606106313966956114031,0.01000000,0.001407617929702293734530718833,2.477058,at_best
2026-04-13 02:00,fill-000005,ord-000304,sell,71072.00000000,0.00016000,1776046880614,1776046887786,7172,71069.99500000,71069.99500000,2.00500000,0.2821162432894500696109518511,2.00500000,0.2821162432894500696109518511,-0.00000000,-0,0.01000000,0.001407063557553366930727939407,1.100897,behind_best
2026-04-13 02:00,fill-000006,ord-000364,sell,71202.00000000,0.00020000,1776047116414,1776047116846,432,71199.99500000,71201.99500000,2.00500000,0.2816011433708668097518827073,0.00500000,0.0007022275148329762389382488510,-2.00000000,-0.2808988961305404586053692841,0.01000000,0.001404455029665952477876497702,3.978611,at_best
2026-04-13 02:00,fill-000007,ord-000364,sell,71202.00000000,0.00080000,1776047116414,1776047116848,434,71199.99500000,71201.99500000,2.00500000,0.2816011433708668097518827073,0.00500000,0.0007022275148329762389382488510,-2.00000000,-0.2808988961305404586053692841,0.01000000,0.001404455029665952477876497702,3.978611,at_best
2026-04-13 02:00,fill-000008,ord-000367,buy,71257.56000000,0.00008000,1776047121914,1776047122089,175,71259.56500000,71259.56500000,2.00500000,0.2813657366558440259914581292,2.00500000,0.2813657366558440259914581292,0.00000000,0,0.01000000,0.001403320382323411600954903387,5.494926,behind_best
2026-04-13 02:00,fill-000009,ord-000455,buy,71240.56000000,0.00008000,1776047487514,1776047487528,14,71242.56500000,71242.56500000,2.00500000,0.2814328765394676623448355628,2.00500000,0.2814328765394676623448355628,0.00000000,0,0.01000000,0.001403655244585873627655040214,0.770529,behind_best
2026-04-13 02:00,fill-000010,ord-000487,buy,71190.62000000,0.001,1776047586714,1776047590221,3507,71192.62500000,71192.62500000,2.00500000,0.2816302952728600750428854112,2.00500000,0.2816302952728600750428854112,0.00000000,0,0.01000000,0.001404639876672618828144066889,2.469084,behind_best
