session,label,n_fills,avg_spread,median_spread,avg_spread_bps,inside_spread,at_best,behind_best,crossed,unknown
2026-04-16 17:00,"[0,1)bps",2,0.01000000,0.01,0.001344339078881716914588559311,0,2,0,0,0
2026-04-16 17:00,"[1,2)bps",10,0.01000000,0.01,0.001348031079730951289753373238,0,1,9,0,0
2026-04-16 17:00,"[2,5)bps",16,0.01000000,0.01,0.001349152089148095652403589048,0,3,13,0,0
2026-04-16 17:00,"[5,10)bps",1,0.01000000,0.01,0.001346076097316186746790500283,0,0,1,0,0
2026-04-16 17:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-16 18:00,"[0,1)bps",1,0.01000000,0.01,0.001342996371290954590405244455,0,0,1,0,0
2026-04-16 18:00,"[1,2)bps",9,0.01000000,0.01,0.001341632876350299771153267336,0,2,7,0,0
2026-04-16 18:00,"[2,5)bps",8,0.01000000,0.01,0.001343647349650147327448550101,0,1,7,0,0
2026-04-16 18:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-16 18:00,"[10,inf)bps",1,0.01000000,0.01,0.001333159400470218652139850821,0,0,1,0,0
2026-04-16 19:00,"[0,1)bps",1,0.01000000,0.01,0.001335684048212584267471799202,0,1,0,0,0
2026-04-16 19:00,"[1,2)bps",17,0.01000000,0.01,0.001332631664177941177698882396,0,2,15,0,0
2026-04-16 19:00,"[2,5)bps",18,0.06888888888888888888888888889,0.01,0.0091852259833711464102007975,0,4,14,0,0
2026-04-16 19:00,"[5,10)bps",1,0.01000000,0.01,0.001327895071856054049578688771,0,1,0,0,0
2026-04-16 19:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-16 20:00,"[0,1)bps",0,,,,0,0,0,0,0
2026-04-16 20:00,"[1,2)bps",13,0.01000000,0.01,0.001330298674726354504492459288,0,1,12,0,0
2026-04-16 20:00,"[2,5)bps",5,0.01000000,0.01,0.001329428733082302459051898499,0,2,3,0,0
2026-04-16 20:00,"[5,10)bps",1,0.01000000,0.01,0.001331394379318918548287510622,0,0,1,0,0
2026-04-16 20:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-16 21:00,"[0,1)bps",2,0.01000000,0.01,0.001331759505580596731183048006,0,1,1,0,0
2026-04-16 21:00,"[1,2)bps",11,0.01000000,0.01,0.001333742203397931379214885222,0,3,8,0,0
2026-04-16 21:00,"[2,5)bps",4,0.01000000,0.01,0.001331437502915376905017009665,0,1,3,0,0
2026-04-16 21:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-16 21:00,"[10,inf)bps",0,,,,0,0,0,0,0
