block_start,session_start,fill_id,order_id,side,fill_timestamp_ms,fill_price,quantity,is_maker,horizon,horizon_ms,book_timestamp_ms,future_timestamp_ms,mid_at_fill,future_mid,microprice_deviation_bps,side_aligned_skew_bps,fill_edge_bps,side_normalized_mid_move,side_normalized_mid_move_bps
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,1s,1000,1775984603914,1775984605014,71548.00500000,71546.00500000,0.0003496146712410794933946795582,0.0003496146712410794933946795582,0.2802314334271095329632181918,-2.00000000,-0.2795326019223037735293947050
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,5s,5000,1775984603914,1775984609014,71548.00500000,71546.00500000,0.0003496146712410794933946795582,0.0003496146712410794933946795582,0.2802314334271095329632181918,-2.00000000,-0.2795326019223037735293947050
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,30s,30000,1775984603914,1775984634015,71548.00500000,71554.99500000,0.0003496146712410794933946795582,0.0003496146712410794933946795582,0.2802314334271095329632181918,6.99000000,0.9769664437184516884852344940
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,1m,60000,1775984603914,1775984664015,71548.00500000,71554.99500000,0.0003496146712410794933946795582,0.0003496146712410794933946795582,0.2802314334271095329632181918,6.99000000,0.9769664437184516884852344940
2026-04-12 09:00,2026-04-12 09:00,fill-000001,ord-000033,buy,1775984603985,71546.00000000,0.001,True,5m,300000,1775984603914,1775984904014,71548.00500000,71569.07500000,0.0003496146712410794933946795582,0.0003496146712410794933946795582,0.2802314334271095329632181918,21.07000000,2.944875961251470254132173217
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000036,sell,1775984610029,71548.01000000,0.00007000000000000000000000000000,True,1s,1000,1775984610014,1775984611114,71546.00500000,71562.46500000,-0.0002960404530832534790572862873,0.0002960404530832534790572862873,0.2802392670282568537544479248,-16.46000000,-2.300617623583594919101353039
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000036,sell,1775984610029,71548.01000000,0.00007000000000000000000000000000,True,5s,5000,1775984610014,1775984615114,71546.00500000,71555.36500000,-0.0002960404530832534790572862873,0.0002960404530832534790572862873,0.2802392670282568537544479248,-9.36000000,-1.308249146825179127751437694
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000036,sell,1775984610029,71548.01000000,0.00007000000000000000000000000000,True,30s,30000,1775984610014,1775984640114,71546.00500000,71554.99500000,-0.0002960404530832534790572862873,0.0002960404530832534790572862873,0.2802392670282568537544479248,-8.99000000,-1.256534169867346192145878725
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000036,sell,1775984610029,71548.01000000,0.00007000000000000000000000000000,True,1m,60000,1775984610014,1775984670114,71546.00500000,71554.99500000,-0.0002960404530832534790572862873,0.0002960404530832534790572862873,0.2802392670282568537544479248,-8.99000000,-1.256534169867346192145878725
2026-04-12 09:00,2026-04-12 09:00,fill-000002,ord-000036,sell,1775984610029,71548.01000000,0.00007000000000000000000000000000,True,5m,300000,1775984610014,1775984910114,71546.00500000,71572.37500000,-0.0002960404530832534790572862873,0.0002960404530832534790572862873,0.2802392670282568537544479248,-26.37000000,-3.685740384805552734915108118
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,1s,1000,1775985097014,1775985098116,71578.00500000,71575.38500000,-0.0006064991832832855254753188497,-0.0006064991832832855254753188497,0.2801139819417990205231341667,-2.62000000,-0.3660342307668396178407039984
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,5s,5000,1775985097014,1775985102114,71578.00500000,71575.38500000,-0.0006064991832832855254753188497,-0.0006064991832832855254753188497,0.2801139819417990205231341667,-2.62000000,-0.3660342307668396178407039984
2026-04-12 09:00,2026-04-12 09:00,fill-000003,ord-000135,buy,1775985097080,71576.00000000,0.00009000,True,30s,30000,1775985097014,1775985127114,71578.00500000,71572.14500000,-0.0006064991832832855254753188497,-0.0006064991832832855254753188497,0.2801139819417990205231341667,-5.86000000,-0.8186872489670534963918035994
