session,label,n_fills,avg_spread,median_spread,avg_spread_bps,inside_spread,at_best,behind_best,crossed,unknown
2026-04-14 02:00,"[0,1)bps",2,0.01000000,0.01,0.001343983105415083896321436914,0,0,2,0,0
2026-04-14 02:00,"[1,2)bps",7,0.01000000,0.01,0.001343368353594872255057692010,0,1,6,0,0
2026-04-14 02:00,"[2,5)bps",4,0.01000000,0.01,0.001344077563879524138185809769,0,1,3,0,0
2026-04-14 02:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-14 02:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-14 03:00,"[0,1)bps",3,0.01000000,0.01,0.001344276283070426927288192976,0,0,3,0,0
2026-04-14 03:00,"[1,2)bps",2,0.01000000,0.01,0.001343687991803571324340712247,0,1,1,0,0
2026-04-14 03:00,"[2,5)bps",3,0.01000000,0.01,0.001344343909722153669842965587,0,0,3,0,0
2026-04-14 03:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-14 03:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-14 04:00,"[0,1)bps",6,0.01000000,0.01,0.001343473714631699528993569999,0,1,5,0,0
2026-04-14 04:00,"[1,2)bps",5,0.01000000,0.01,0.001343516872553397268139586847,0,0,5,0,0
2026-04-14 04:00,"[2,5)bps",1,0.01000000,0.01,0.001342498210617697522936414116,0,0,1,0,0
2026-04-14 04:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-14 04:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-14 05:00,"[0,1)bps",2,0.01000000,0.01,0.001345302222331057365170810374,0,0,2,0,0
2026-04-14 05:00,"[1,2)bps",7,0.01000000,0.01,0.001345243024621999927244875409,0,0,7,0,0
2026-04-14 05:00,"[2,5)bps",2,0.01000000,0.01,0.001344934275654657677880865894,0,0,2,0,0
2026-04-14 05:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-14 05:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-14 06:00,"[0,1)bps",3,0.01000000,0.01,0.001343891491905333163072419205,0,0,3,0,0
2026-04-14 06:00,"[1,2)bps",1,0.01000000,0.01,0.001343712075826209923703356479,0,1,0,0,0
2026-04-14 06:00,"[2,5)bps",1,0.01000000,0.01,0.001343507356273766225286434089,0,0,1,0,0
2026-04-14 06:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-14 06:00,"[10,inf)bps",0,,,,0,0,0,0,0
