session,label,n_fills,avg_spread,median_spread,avg_spread_bps,inside_spread,at_best,behind_best,crossed,unknown
2026-04-12 09:00,"[0,1)bps",6,0.01000000,0.01,0.001397147263952333309402818715,0,2,4,0,0
2026-04-12 09:00,"[1,2)bps",0,,,,0,0,0,0,0
2026-04-12 09:00,"[2,5)bps",2,0.01000000,0.01,0.001397682544776474779844553906,0,0,2,0,0
2026-04-12 09:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-12 09:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-12 10:00,"[0,1)bps",5,0.01000000,0.01,0.001396777220752761788213893719,0,0,5,0,0
2026-04-12 10:00,"[1,2)bps",3,0.01000000,0.01,0.001396855473766561108716872676,0,1,2,0,0
2026-04-12 10:00,"[2,5)bps",3,0.01000000,0.01,0.001399864029265592577600807647,0,0,3,0,0
2026-04-12 10:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-12 10:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-12 11:00,"[0,1)bps",3,0.01000000,0.01,0.001399501078368203246515835185,0,1,2,0,0
2026-04-12 11:00,"[1,2)bps",7,0.01000000,0.01,0.001399261779648841585735021936,0,1,6,0,0
2026-04-12 11:00,"[2,5)bps",2,0.01000000,0.01,0.001399450362057642357489825066,0,0,2,0,0
2026-04-12 11:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-12 11:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-12 12:00,"[0,1)bps",1,0.01000000,0.01,0.001399972098556075777409756224,0,1,0,0,0
2026-04-12 12:00,"[1,2)bps",2,0.01000000,0.01,0.001401011592157577073319984709,0,0,2,0,0
2026-04-12 12:00,"[2,5)bps",0,,,,0,0,0,0,0
2026-04-12 12:00,"[5,10)bps",0,,,,0,0,0,0,0
2026-04-12 12:00,"[10,inf)bps",0,,,,0,0,0,0,0
2026-04-12 13:00,"[0,1)bps",4,0.01000000,0.01,0.001407703425785453851873173417,0,1,3,0,0
2026-04-12 13:00,"[1,2)bps",10,0.01000000,0.01,0.001408732007968327694546213524,0,1,9,0,0
2026-04-12 13:00,"[2,5)bps",7,0.01000000,0.01,0.001409326087633863929912517865,0,1,6,0,0
2026-04-12 13:00,"[5,10)bps",1,0.08000000,0.08,0.01126244711577176200422003893,0,0,1,0,0
2026-04-12 13:00,"[10,inf)bps",0,,,,0,0,0,0,0
