window,run_dir,net_pnl,matched_net_pnl,residual_inventory_pnl,loss_source_label,fills,matched_lots,fill_metric_mean,fill_metric_median,fill_tail_5pct_n,fill_tail_5pct_metric_sum,fill_tail_5pct_share_total,fill_tail_10pct_n,fill_tail_10pct_metric_sum,fill_pooled_tail_5pct_rows,fill_tail_5pct_clusters_120s,fill_tail_5pct_largest_cluster_rows_120s,fill_tail_5pct_worst_cluster_share_total_120s,fill_tail_5pct_worst_cluster_share_negative_120s,fill_tail_5pct_worst_cluster_share_tail_120s,matched_metric_mean,matched_metric_median,matched_tail_5pct_n,matched_tail_5pct_metric_sum,matched_tail_5pct_share_total,matched_tail_10pct_n,matched_tail_10pct_metric_sum,matched_pooled_tail_5pct_rows,matched_tail_5pct_clusters_120s,matched_tail_5pct_largest_cluster_rows_120s,matched_tail_5pct_worst_cluster_share_total_120s,matched_tail_5pct_worst_cluster_share_negative_120s,matched_tail_5pct_worst_cluster_share_tail_120s
2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,-0.39913170850000000000,-0.39144588776000000000,0.0570338000000000,matched_loss,42,32,-1.349497520647260430805036603,-0.8989398765402078825777437952,2,-15.22776884021668525706272933,0.2686673515288610452564232474,4,-26.16790435093095086979780326,0,2,1,0.1351993173018161013172364891,0.1105090445425437226186092098,0.5032219826207375588127325905,-65.656864187500,-59.23685300000000,2,-472.934754000000,0.2250977296188586725138745418,3,-645.514356000000,0,1,2,0.2250977296188586725138745418,0.2063882869665605267321417488,1
2026-04-12 15:00,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000_qc0,-0.17903049696000000000,-0.09230922692000000000,-0.0267948000000000,matched_and_residual_loss,25,13,-1.922820537135180536982793422,-2.061661986314915160384448048,1,-11.37888990430753838772235537,0.2367124686791831456719663527,3,-23.85987590742960023702509295,1,1,1,0.2367124686791831456719663527,0.1797041117069711214725201046,1,-29.13061430769230769230769231,-32.58514600000000,1,-98.160058000000,0.2592040666411149068006926237,1,-98.160058000000,0,1,1,0.2592040666411149068006926237,0.1873617239418418863591652342,1
2026-04-13 02:00,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000_qc0,-0.33821155632000000000,-0.12033839884000000000,-0.1431154000000000,matched_and_residual_loss,40,21,-1.872352082574416681693395372,-1.571998501887988627939355068,2,-14.69513583952390343019749290,0.1962122398918506407325542843,4,-25.85795201998951833658845439,0,2,1,0.1082382295590531026161367212,0.09366154908411611994201277045,0.5516385196902724063895398126,-22.80797638095238095238095238,-9.70330800000000,1,-134.450000000000,0.2807079788861834768648521926,2,-265.361322000000,0,1,1,0.2807079788861834768648521926,0.1683769810550561494714908930,1
2026-04-13 07:00,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000_qc0,-0.44514689384000000000,-0.46667800576000000000,0.1430648000000000,matched_loss,41,21,-1.264945068389394387236882913,-1.272768322719741859957160032,2,-14.38561833686063967550429651,0.2773786377697632568665435522,4,-25.73881807749156175845367760,0,1,2,0.2773786377697632568665435522,0.2130006968211449071662442928,1,-81.99035152380952380952380952,-100.31680000000000,1,-218.278800000000,0.1267738017736165892253633360,2,-436.557600000000,0,1,1,0.1267738017736165892253633360,0.1129866949215430374013286681,1
2026-04-13 12:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qc0,-10.51427717764000000000,-1.70592603200000000000,-8.5453437000000000,matched_and_residual_loss,110,76,-1.053643992290745391715122141,-0.7626123831909336282101215005,6,-110.7639222015896733169048511,0.9556783454893175848171563193,11,-159.3477018741552185998030807,7,4,2,0.4240596469588300990590080095,0.1541690060995714153041220036,0.4437263321496596241194114945,-113.7971129473684210526315789,-91.87079900000000,4,-1898.489584000000,0.2195145857243017856119452214,8,-3691.329638000000,11,3,2,0.1069647428286019425265726356,0.08339236871650330699669863798,0.4872785217240359639497500662
2026-04-14 02:00,btcusdt_microprice_20260414_02_5h_5sessions_hs2.00_rq5000_qc0,-1.02725722960000000000,-0.54799232076000000000,-0.4095467000000000,matched_and_residual_loss,49,34,-1.253212861735796437144034930,-1.223216843884127491186957874,2,-11.34713868531778795305518495,0.1847844575767346384688167510,5,-24.74979566592634271961235971,0,2,1,0.09866344550945928210651531660,0.07574708343515028633543826452,0.5339380097402820903610641248,-54.69996094117647058823529412,-46.66539500000000,2,-383.133126000000,0.2060078500798069179393413396,3,-548.156584000000,0,1,2,0.2060078500798069179393413396,0.1795287090313432920039496950,1
2026-04-14 12:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000_qc0,3.10781983312000000000,-1.85454027146000000000,5.3212342000000000,not_loss_window,134,78,-0.9516053217771173620090763902,-0.5323396681088413700320315433,7,-115.6126256893821834317439111,0.9134752007300980529739793909,13,-179.0025793981598861559905725,9,5,2,0.3731717133681214941807212580,0.1250577727893018155287720538,0.4085187130092451083611635424,-40.40200853846153846153846154,-59.88240000000000,4,-2090.680200000000,0.6634222722411452998002226131,8,-3806.872870000000,10,2,3,0.4923497574044511532925927465,0.1464159974388756152651380381,0.7421363104696739367407793884
2026-04-15 00:00,btcusdt_microprice_20260415_00_5h_5sessions_hs2.00_rq5000_qc0,-1.14429144860000000000,-0.35436145810000000000,-0.6680712000000000,matched_and_residual_loss,45,28,-1.335721728024020582679268373,-1.998312491443342513374520551,2,-23.26755316654324566112092089,0.4051037549523924047627390348,4,-36.27963598912742560532729208,1,2,1,0.2367888638706926303423032770,0.1387060064694561036071022006,0.5845141176203610896286018756,-39.11437071428571428571428571,-50.41995800000000,1,-235.581944000000,0.2151035719991769922925112708,3,-563.587260000000,0,1,1,0.2151035719991769922925112708,0.1513148876470730932255263928,1
2026-04-15 05:00,btcusdt_microprice_20260415_05_5h_5sessions_hs2.00_rq5000_qc0,-0.54540119960000000000,-0.73514571868000000000,0.4726327000000000,matched_loss,62,27,-1.289685677852761849307922862,-1.057570390730388771925085387,3,-34.22674681768143318196255831,0.4350627596796364286684394681,6,-53.56870507147321047828303915,1,3,1,0.2336335089782378910687953569,0.1535970799086080959012595485,0.5370110490502029375877314743,-128.1515836296296296296296296,-116.77720000000000,1,-407.725958000000,0.1178367132087156606799845798,3,-1167.733406000000,3,1,1,0.1178367132087156606799845798,0.1070904398243894159382321455,1
2026-04-15 12:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000_qc0,0.63637166592000000000,0.74289681262000000000,0.0560903000000000,not_loss_window,122,92,-2.203314381680386860923424112,-1.617284704889072106349396464,6,-86.22825152707452030121056531,0.3207844295030615796348504989,12,-144.0994338387224758391453132,7,4,2,0.1328476063925107432858637709,0.09584739613369571919986865661,0.4141335868399524058890987477,13.98337189130434782608695652,-28.68100200000000,5,-1318.561584000000,-1.024945288006489359729552199,9,-2178.340130000000,0,4,2,-0.4058856756399025341133937828,0.09708589908909821255401579961,0.3960071629085168311713834975
2026-04-16 12:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qc0,3.42264157584000000000,1.13122840612000000000,2.5480324000000000,not_loss_window,115,85,-1.878153254555611127854565738,-1.385835965673352431689779681,6,-95.60145653108775901461186602,0.4504587614022301890376021153,11,-154.6427048466307292434166404,11,5,2,0.1368789314973007528972555590,0.07550778249535395199149443666,0.3038656215081957891279319831,65.95767745882352941176470588,-7.30848400000000,4,-1349.693462000000,-0.2407414454773303522007651814,9,-2545.399738000000,0,4,1,-0.06544406551308053549512990165,0.06597168521305013984597490680,0.2718437840369415674031026758
2026-04-16 17:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qc0,1.46996909410000000000,1.74550238758000000000,-0.0655444000000000,not_loss_window,121,90,-2.195156646920089145812901165,-1.546889592416519956902380170,6,-81.55154518654456417564674526,0.3070303493972142587581498955,12,-143.1013053240902579141044019,6,6,1,0.07935421359536021067309966883,0.05822821388917985888364498259,0.2584572298834774593707979713,35.71364635555555555555555556,14.17796000000000,5,-2094.545370000000,-0.6516480031648481239184409712,9,-2837.016280000000,2,3,2,-0.4484062228547973787095535419,0.2905477835044700225189785865,0.6881110978274010841789500124
2026-04-17 05:00,btcusdt_microprice_20260417_05_5h_5sessions_hs2.00_rq5000_qc0,1.07931529286000000000,0.74529859336000000000,0.4997354000000000,not_loss_window,76,53,-1.396735966011101715326826916,-1.527312132541545558204695701,4,-45.86794488520886894085101107,0.4320971216331208295508986906,8,-72.60962963903673870614754380,1,3,2,0.1978479349595456954914592977,0.1167631944868126096788064432,0.4578783913481648689986946753,30.32423562264150943396226415,-8.03640000000000,3,-557.228814000000,-0.3467111698504646095115870730,5,-806.102788000000,0,3,1,-0.1211860812832832667309815399,0.1097216463827163560227972561,0.3495303636613450502579358719
2026-04-17 12:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qc0,-3.93242645290000000000,1.56269870938000000000,-5.2714735000000000,residual_inventory_loss,126,94,-2.229874797147666019421826879,-2.398947181547632254388003042,6,-138.5673295972832198060784274,0.4931849593063599721741772431,13,-236.8572775041898718524125207,16,4,2,0.1680283190450021821500090557,0.08271269002528609850006836384,0.3407004124402447830431198406,72.51431276595744680851063830,65.81975100000000,5,-2810.028470000000,-0.4122485445059752987282598678,9,-4534.106354000000,8,2,4,-0.3384556111255747104599482297,0.2925160634034080490958345097,0.8209989231888458411241648381
2026-04-18 13:00,btcusdt_microprice_20260418_13_5h_5sessions_hs2.00_rq5000_qc0,-0.26824253644000000000,-0.24331301788000000000,0.0103264000000000,matched_loss,37,27,-0.8849048127225529923230127917,-0.8028058301646648732411727415,2,-18.29603255422900428563537749,0.5743251920426677983525528287,4,-27.73253879857044537147262505,0,2,1,0.2902590259091253354103891636,0.1523583484820049938259411459,0.5053914227178134928421452750,-28.58796792592592592592592593,-60.45279800000000,1,-142.410794000000,0.1844997820593090902705514542,3,-408.792366000000,0,1,1,0.1844997820593090902705514542,0.09844252122061498138641407434,1
2026-04-18 19:00,btcusdt_microprice_20260418_19_5h_5sessions_hs2.00_rq5000_qc0,-0.19927154190000000000,-0.00038750412000000000,-0.1395266000000000,matched_and_residual_loss,29,20,-1.406010228522727781277196172,-1.318356886987613180114774832,1,-5.018218933630456958276763950,0.1230730962576041528446035756,3,-13.75224142035430715570778669,0,1,1,0.1230730962576041528446035756,0.09442131149346311195419905622,1,-1.428340500000,-0.79188300000000,1,-156.034848000000,5.462102628889960062044029417,2,-207.233440000000,0,1,1,5.462102628889960062044029417,0.3530878940547104991893554777,1
2026-04-19 13:00,btcusdt_microprice_20260419_13_5h_5sessions_hs2.00_rq5000_qc0,-4.52735897490000000000,-2.31448489814000000000,-2.0358100000000000,matched_and_residual_loss,79,50,-2.891416842385405007049898649,-2.325737062385455945103511014,4,-82.73881798536702139429947764,0.3622192395743655949182220935,8,-132.8424711600588368207851059,8,2,3,0.2761827316305908147724066091,0.1983118228813157407626319451,0.7624739424529905083416965574,-168.839118960000,-96.92044700000000,3,-1800.749506000000,0.2133095122850787943960022190,5,-2825.469996000000,14,2,2,0.1459664018137802298799676229,0.1283260414349187067977426020,0.6842939175572374140082090907
2026-04-20 03:00,btcusdt_microprice_20260420_03_5h_5sessions_hs2.00_rq5000_qc0,-0.44500265376000000000,-0.11721957424000000000,-0.2322847000000000,matched_and_residual_loss,53,40,-1.289240837596040469385904302,-0.5577466552462676056385237224,3,-42.16878434029056801981772338,0.6171363931245086992239298250,5,-58.57665723397502269253439546,2,3,1,0.2733211597432672785178249199,0.1634045009517508952239315661,0.4428861476787419023043216934,-13.347116350000,-20.87279900000000,2,-727.564796000000,1.362775255945079103172723897,4,-1243.593198000000,1,1,2,1.362775255945079103172723897,0.2413711854601164489724649610,1
2026-04-20 13:00,btcusdt_microprice_20260420_13_5h_5sessions_hs2.00_rq5000_qc0,-0.06711928772000000000,-0.69004132294000000000,0.7221098000000000,matched_loss,91,69,-2.467053206598502771544229403,-2.673408963401334414679950558,5,-68.02272406055135033828953457,0.3063606585766839447445358798,9,-111.2744061500811525314252975,6,4,2,0.1111397458252279585441015229,0.07088043652928080999329850816,0.3627742097878047258668848891,-34.97403973913043478260869565,-71.47124600000000,3,-1012.953766000000,0.4197538937972237794918447217,7,-2117.969472000000,1,2,2,0.2618225100064717070380975771,0.09047876834457665178317345974,0.6237524270184706534769919598
2026-05-06 18:00,btcusdt_microprice_20260506_18_5h_5sessions_hs2.00_rq5000_qc0,-0.30130870908000000000,-0.36588830708000000000,0.1595355000000000,matched_loss,37,23,-1.192657262191195575598572205,-1.284121232114322213692164038,2,-11.76152488340788917690421128,0.2665300929110986699979825210,4,-22.41023574172356961825175848,0,2,1,0.1342427270676022731349948770,0.09826894254329292234935557383,0.5036681809598852475619910288,-60.57785408695652173913043478,3.78445800000000,1,-364.372188000000,0.2615191522092787411267508662,2,-710.328060000000,0,1,1,0.2615191522092787411267508662,0.1655016493062140029715354952,1
2026-05-07 16:00,btcusdt_microprice_20260507_16_5h_5sessions_hs2.00_rq5000_qc0,-3.24969134178000000000,-0.90644421592000000000,-2.1602799000000000,matched_and_residual_loss,90,60,-1.195074183897461446897371778,-0.9049596296814857107303487484,4,-54.72551506671561790103533847,0.5203700836401109052693733273,9,-91.44388370480503973636019431,3,3,2,0.2498445121007769049391861018,0.1377678679346926503797839794,0.4801285084512466308498843096,-66.96502756666666666666666667,-66.25867100000000,3,-1617.386478000000,0.4025450638867229974265567228,6,-2315.670502000000,3,1,3,0.4025450638867229974265567228,0.2887734847664958812481286009,1
2026-05-08 07:00,btcusdt_microprice_20260508_07_5h_5sessions_hs2.00_rq5000_qc0,-0.44307511896000000000,-0.29898509292000000000,-0.0958616000000000,matched_and_residual_loss,38,28,-2.039417769810744129138958294,-1.317579097815765031910036536,2,-21.26592482454538838451624880,0.2744065531496591424046770257,4,-32.96066047371428311289191552,1,2,1,0.1672477852822891163231370129,0.1535902063631817226415398466,0.6094890350197777894794768475,-54.60356178571428571428571429,-33.69689200000000,1,-373.312532000000,0.2441707096121993559381425229,3,-886.019592000000,1,1,1,0.2441707096121993559381425229,0.1634057133136095557762887052,1
2026-05-09 07:00,btcusdt_microprice_20260509_07_5h_5sessions_hs2.00_rq5000_qc0,-0.04893595298000000000,-0.02644203338000000000,0.0332104000000000,matched_loss,17,7,-1.643088576610695919932470922,-1.312467877722615211278349322,1,-5.300935820012246817897538278,0.1897765942488493499633908092,2,-9.660889674987927403767738554,0,1,1,0.1897765942488493499633908092,0.1897765942488493499633908092,1,-34.62599514285714285714285714,-26.86774400000000,1,-107.612150000000,0.4439775441049108414278643156,1,-107.612150000000,0,1,1,0.4439775441049108414278643156,0.4307848465272477640787650956,1
2026-05-09 13:00,btcusdt_microprice_20260509_13_5h_5sessions_hs2.00_rq5000_qc0,-0.21410702216000000000,0.02708087746000000000,-0.1461155000000000,residual_inventory_loss,30,14,-2.006106541904750337663719292,-1.978750090770493550674763115,1,-8.662684729986879017631238776,0.1489019951391268405630604377,3,-18.06684898411032820765730938,0,1,1,0.1489019951391268405630604377,0.1459686515561250119701184090,1,-22.33991728571428571428571429,-32.59337700000000,1,-221.216820000000,0.7073079647737025449147813381,1,-221.216820000000,0,1,1,0.7073079647737025449147813381,0.2608559822144462129130057698,1
