source,run_dir,window,session,row_id,open_fill_id,close_fill_id,open_side,close_side,open_time_ms,close_time_ms,primary_timestamp_ms,hold_time_ms,quantity,net_pnl,realized_pnl,total_fees,inventory_pnl,net_pnl_per_btc,primary_nearest_boundary,primary_nearest_boundary_hhmm_utc,primary_boundary_signed_delta_ms,primary_boundary_abs_delta_ms,primary_within_30m_boundary,open_nearest_boundary,open_nearest_boundary_hhmm_utc,open_boundary_signed_delta_ms,open_boundary_abs_delta_ms,open_within_30m_boundary,close_nearest_boundary,close_nearest_boundary_hhmm_utc,close_boundary_signed_delta_ms,close_boundary_abs_delta_ms,close_within_30m_boundary,pooled_tail_rank,is_pooled_tail_1pct,is_pooled_tail_5pct,is_pooled_tail_10pct,window_tail_rank,is_window_tail_1pct,is_window_tail_5pct,is_window_tail_10pct
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 09:00:fill-000001:fill-000003:1,fill-000001,fill-000003,buy,sell,1775984603985,1775985743345,1775985743345,1139360,0.00096000,0.03587366400000000000,0.0633600000000000,0.02748633600000000000,0.0614304000000000,37.368400000000,London,07:00,8543345,8543345,False,London,07:00,7403985,7403985,False,London,07:00,8543345,8543345,False,757,False,False,False,31,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 09:00:fill-000001:fill-000006:2,fill-000001,fill-000006,buy,sell,1775984603985,1775987367312,1775987367312,2763327,0.00004000,-0.00202456000000000000,-0.0008800000000000,0.00114456000000000000,-0.0010404000000000,-50.614000000000,London,07:00,10167312,10167312,False,London,07:00,7403985,7403985,False,London,07:00,10167312,10167312,False,462,False,False,False,18,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 09:00:fill-000002:fill-000006:3,fill-000002,fill-000006,buy,sell,1775985097080,1775987367312,1775987367312,2270232,0.00009000,-0.00725580000000000000,-0.0046800000000000,0.00257580000000000000,-0.0050409000000000,-80.620000000000,London,07:00,10167312,10167312,False,London,07:00,7897080,7897080,False,London,07:00,10167312,10167312,False,363,False,False,False,13,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 09:00:fill-000004:fill-000006:4,fill-000004,fill-000006,buy,sell,1775986621009,1775987367312,1775987367312,746303,0.00001000,-0.00114626800000000000,-0.0008600000000000,0.00028626800000000000,-0.0009001000000000,-114.626800000000,London,07:00,10167312,10167312,False,London,07:00,9421009,9421009,False,London,07:00,10167312,10167312,False,294,False,False,False,8,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 09:00:fill-000004:fill-000007:5,fill-000004,fill-000007,buy,sell,1775986621009,1775987367322,1775987367322,746313,0.00086000,-0.09857904800000000000,-0.0739600000000000,0.02461904800000000000,-0.0756886000000000,-114.626800000000,London,07:00,10167322,10167322,False,London,07:00,9421009,9421009,False,London,07:00,10167322,10167322,False,295,False,False,False,9,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000001:fill-000002:6,fill-000001,fill-000002,sell,buy,1775988308456,1775989512531,1775989512531,1204075,0.00008000,-0.01034434128000000000,-0.0080536000000000,0.00229074128000000000,-0.0083744000000000,-129.304266000000,US cash open,13:30,-11087469,11087469,False,London,07:00,11108456,11108456,False,US cash open,13:30,-11087469,11087469,False,264,False,False,False,7,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000002:fill-000006:7,fill-000002,fill-000006,buy,sell,1775989512531,1775990254260,1775990254260,741729,0.00006000,-0.00634253916000000000,-0.0046242000000000,0.00171833916000000000,-0.0048648000000000,-105.708986000000,US cash open,13:30,-10345740,10345740,False,US cash open,13:30,-11087469,11087469,False,US cash open,13:30,-10345740,10345740,False,310,False,False,False,10,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000003:fill-000006:8,fill-000003,fill-000006,buy,sell,1775989583315,1775990254260,1775990254260,670945,0.00048000,-0.05073551232000000000,-0.0369888000000000,0.01374671232000000000,-0.0379584000000000,-105.698984000000,US cash open,13:30,-10345740,10345740,False,US cash open,13:30,-11016685,11016685,False,US cash open,13:30,-10345740,10345740,False,311,False,False,False,11,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000004:fill-000006:9,fill-000004,fill-000006,buy,sell,1775989675573,1775990254260,1775990254260,578687,0.00002000,-0.00177411172000000000,-0.0012014000000000,0.00057271172000000000,-0.0012816000000000,-88.705586000000,US cash open,13:30,-10345740,10345740,False,US cash open,13:30,-10924427,10924427,False,US cash open,13:30,-10345740,10345740,False,348,False,False,False,12,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000004:fill-000010:10,fill-000004,fill-000010,buy,sell,1775989675573,1775991237645,1775991237645,1562072,0.00006000,-0.01473565212000000000,-0.0130194000000000,0.00171625212000000000,-0.0132600000000000,-245.594202000000,US cash open,13:30,-9362355,9362355,False,US cash open,13:30,-10924427,10924427,False,US cash open,13:30,-9362355,9362355,False,118,False,False,False,1,True,True,True
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000005:fill-000010:11,fill-000005,fill-000010,buy,sell,1775989803625,1775991237645,1775991237645,1434020,0.00008000,-0.01818724416000000000,-0.0158992000000000,0.00228804416000000000,-0.0162200000000000,-227.340552000000,US cash open,13:30,-9362355,9362355,False,US cash open,13:30,-10796375,10796375,False,US cash open,13:30,-9362355,9362355,False,127,False,False,False,2,False,True,True
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 10:00:fill-000007:fill-000010:12,fill-000007,fill-000010,buy,sell,1775990324415,1775991237645,1775991237645,913230,0.00026000,-0.04487069652000000000,-0.0374374000000000,0.00743329652000000000,-0.0379600000000000,-172.579602000000,US cash open,13:30,-9362355,9362355,False,US cash open,13:30,-10275585,10275585,False,US cash open,13:30,-9362355,9362355,False,182,False,False,False,3,False,False,True
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0,2026-04-12 09:00,2026-04-12 11:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000_qc0:2026-04-12 11:00:fill-000001:fill-000002:13,fill-000001,fill-000002,buy,sell,1775991684017,1775991707657,1775991707657,23640,0.00028000,-0.01191713600000000000,-0.0039144000000000,0.00800273600000000000,-0.0046312000000000,-42.561200000000,US cash open,13:30,-8892343,8892343,False,US cash open,13:30,-8915983,8915983,False,US cash open,13:30,-8892343,8892343,False,503,False,False,False,20,False,False,False
