source,block_start,window,session,row_id,fill_id,order_id,side,fill_timestamp_ms,primary_timestamp_ms,quantity,horizon,side_aligned_skew_bps,fill_edge_bps,side_normalized_mid_move_bps,primary_nearest_boundary,primary_nearest_boundary_hhmm_utc,primary_boundary_signed_delta_ms,primary_boundary_abs_delta_ms,primary_within_30m_boundary,pooled_tail_rank,is_pooled_tail_1pct,is_pooled_tail_5pct,is_pooled_tail_10pct,window_tail_rank,is_window_tail_1pct,is_window_tail_5pct,is_window_tail_10pct
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 10:00,2026-04-12 09:00:2026-04-12 10:00:fill-000008:73,fill-000008,ord-000361,buy,1775991202215,1775991202215,0.00016000,30s,-0.0006994646745051672168691466857,0.1168537457818071872610664521,-5.003019654730068197105539714,US cash open,13:30,-9397785,9397785,False,298,False,False,False,5,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 10:00,2026-04-12 09:00:2026-04-12 10:00:fill-000009:78,fill-000009,ord-000365,buy,1775991212227,1775991212227,0.00007000,30s,-0.0005547357314487748179856025998,0.2806169738559452414814028973,-5.086095177019975099967172713,US cash open,13:30,-9387773,9387773,False,289,False,False,False,4,False,False,True
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 10:00,2026-04-12 09:00:2026-04-12 10:00:fill-000010:83,fill-000010,ord-000376,sell,1775991237645,1775991237645,0.00040000,30s,-0.0005474739413151119243843190207,0.2808123052652447293245987868,-0.8011203920784039160781571374,US cash open,13:30,-9362355,9362355,False,934,False,False,False,24,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000001:88,fill-000001,ord-000017,buy,1775991684017,1775991684017,0.00028000,30s,-0.0006994138312182100789351662515,0.07766523471098632119304435755,-1.476339146307938177633545896,US cash open,13:30,-8915983,8915983,False,786,False,False,False,17,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000002:93,fill-000002,ord-000026,sell,1775991707657,1775991707657,0.00040000,30s,-0.0006559132332430094017769580527,0.2806393622529979947232801409,-1.867196554840395635714991062,US cash open,13:30,-8892343,8892343,False,702,False,False,False,11,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000003:98,fill-000003,ord-000036,sell,1775991750240,1775991750240,0.001,30s,-0.0006653830908326309227728058125,0.0006995159839052564359142978199,-1.610285794949900315474713581,US cash open,13:30,-8849760,8849760,False,748,False,False,False,15,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000004:103,fill-000004,ord-000117,buy,1775992158800,1775992158800,0.00028000,30s,-0.0006924145414424374335223980354,0.2805294184765069903943509070,-5.854040333694290512767901222,US cash open,13:30,-8441200,8441200,False,230,False,False,False,3,False,False,True
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000005:108,fill-000005,ord-000125,buy,1775992190194,1775992190194,0.001,30s,0.0004165633963472202496116311645,0.2806937377227114063085252568,-0.2057954087044318041264499389,US cash open,13:30,-8409806,8409806,False,1065,False,False,False,33,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000006:113,fill-000006,ord-000174,sell,1775992410120,1775992410120,0.00074000,30s,-0.0006993549795081982581958112183,0.1671590397965107963407697191,-7.564820813552555536492741766,US cash open,13:30,-8189880,8189880,False,171,False,False,False,2,False,True,True
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000007:118,fill-000007,ord-000180,sell,1775992436999,1775992436999,0.00007000,30s,-0.0006858779332181945020938012033,0.2803433387940859999682603801,-0.4586165342865845785016927914,US cash open,13:30,-8163001,8163001,False,1019,False,False,False,28,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000008:123,fill-000008,ord-000330,sell,1775993546806,1775993546806,0.001,30s,-0.0006124400344755455638951329828,0.2804858574624031790448945943,-1.000236349554205850459349800,US cash open,13:30,-7053194,7053194,False,884,False,False,False,20,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000009:128,fill-000009,ord-000370,sell,1775993736342,1775993736342,0.00024000,30s,-0.0006342159172884071616788885554,0.2807215622231943635590649718,-0.2814216159943245240666935627,US cash open,13:30,-6863658,6863658,False,1057,False,False,False,31,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 11:00,2026-04-12 09:00:2026-04-12 11:00:fill-000010:133,fill-000010,ord-000417,buy,1775994191536,1775994191536,0.001,30s,-0.0006740608658751196785588474922,0.0006996429372269862075889569758,-1.751905914816373463802748267,US cash open,13:30,-6408464,6408464,False,725,False,False,False,13,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 12:00,2026-04-12 09:00:2026-04-12 12:00:fill-000001:138,fill-000001,ord-000208,sell,1775996540965,1775996540965,0.001,30s,-0.0006917035274597373314431843373,0.0006999860492780378887048781118,0.9743805805950287410771903316,US cash open,13:30,-4059035,4059035,False,1228,False,False,False,38,False,False,False
fill,2026-04-12 09:00,2026-04-12 09:00,2026-04-12 12:00,2026-04-12 09:00:2026-04-12 12:00:fill-000002:143,fill-000002,ord-000299,buy,1775997243252,1775997243252,0.00040000,30s,-0.0006112742471399385510356666688,0.2809618367645359740102593810,-1.049578133349812690941068710,US cash open,13:30,-3356748,3356748,False,873,False,False,False,19,False,False,False
