window,horizon,horizon_ms,n,alpha,beta,r2,t_stat,hac_lags,x_mean_bps,y_mean_bps,x_std_bps,y_std_bps,predicted_drift_1std_bps
2026-04-12 09:00,1s,1000,17998,-0.004989411811061623,41.252209399859375,0.10243149447537314,9.608363220579403,12,-6.576487280000203e-05,-0.007702358114962423,0.0040682053749165024,0.5243645560932091,0.16782246000768897
2026-04-12 09:00,10s,10000,17989,-0.05366272561758101,86.96196121425164,0.04116147433762252,8.044601418269796,12,-6.585813510903936e-05,-0.05938987820857623,0.0040692188629338774,1.7441945036635311,0.35386725293075705
2026-04-12 09:00,1m,60000,17939,-0.34681705354968506,58.64417705450482,0.003213795993152302,4.208734313291236,60,-6.640346274669033e-05,-0.3507112299760342,0.004074847131068054,4.2152861786270135,0.238966056624396
2026-04-12 09:00,5m,300000,17699,-1.6221052460003318,105.17215529601818,0.0025503489635982923,5.784709498020333,300,-6.669352926496366e-05,-1.6291195482174259,0.004101938330161513,8.54260049097653,0.4314096950744361
2026-04-12 15:00,1s,1000,17998,0.0028705947793843797,3.490003268506062,0.0019352393842796412,1.5484716782090595,12,8.32836577281436e-05,0.003161255017068741,0.004385260056802362,0.3478995283378993,0.015304571931489321
2026-04-12 15:00,10s,10000,17989,0.02484775474954873,15.579100390597088,0.0032975864111512987,2.022133328031802,12,8.321236942170937e-05,0.026144128606508988,0.004386355718792618,1.1900032077920222,0.06833547609193985
2026-04-12 15:00,1m,60000,17939,0.15371008631009192,9.438931405462975,0.00017012968518226312,0.8964736808429091,60,8.236798128221024e-05,0.15448755203542117,0.004392431625300388,3.178613990108747,0.041459860814396614
2026-04-12 15:00,5m,300000,17699,0.7495152375821205,14.8582956362043,0.00010431403920063698,1.143615660867649,300,8.071373985158734e-05,0.750714506190739,0.0044219112814118805,6.43291242310566,0.0657020650962847
2026-04-13 02:00,1s,1000,17998,0.006934122640095943,83.79064030160885,0.03119791527671878,3.754173780796244,12,-0.00010656338297859101,-0.0019948914523857625,0.0007985329322157759,0.37881359222086924,0.06690958569228109
2026-04-13 02:00,10s,10000,17989,0.010325261670191816,245.0313311862948,0.02140056475837626,3.015738577685558,12,-0.00010675059216767105,-0.01583197803357788,0.0007986414955502565,1.3377066115893184,0.1956921887952927
2026-04-13 02:00,1m,60000,17939,-0.06481940764977409,278.52382036311815,0.0040647956121510065,2.4600377386563403,60,-0.00010626188732269983,-0.09441587446588764,0.0007996437618465961,3.4933294132194312,0.22271983547904936
2026-04-13 02:00,5m,300000,17699,-0.3885326291101444,62.48202485609934,4.5713028903215935e-05,0.3579131825581697,300,-0.0001095399867633446,-0.3953769092858285,0.0008032315037493587,7.4229379451483375,0.050187530782469486
2026-04-13 07:00,1s,1000,17998,-0.00123547788224486,65.17182835888552,0.021693637386915432,2.161131859822073,12,-1.8231906780712836e-05,-0.002423684581612678,0.0008680617258991089,0.38410001554189116,0.05657316980521465
2026-04-13 07:00,10s,10000,17989,-0.006859301633442799,264.1026735711351,0.02888560675630325,2.081425833008294,12,-1.8060704194177223e-05,-0.011629181897702418,0.0008682448779881158,1.3491936247750305,0.22930579359110537
2026-04-13 07:00,1m,60000,17939,-0.04137857148133006,358.03670346426543,0.008162176479678096,2.5548689920864214,60,-1.7020674025562946e-05,-0.04747259750018247,0.0008691627432674626,3.4444958151127705,0.31119216337343997
2026-04-13 07:00,5m,300000,17699,-0.13956808401226933,398.6188511471723,0.0021304172167249114,1.644141435418953,300,-1.694693115057979e-05,-0.14632345023798368,0.0008733979384144149,7.542888084360795,0.3481528828050628
2026-04-13 12:00,1s,1000,17996,0.012549874042969892,-1.7241390134257901,0.00020308388151346612,-0.37624317377101885,12,2.2022624669420493e-05,0.012511903976599311,0.007760862873961855,0.9389545299111173,-0.013380806458845434
2026-04-13 12:00,10s,10000,17987,0.10328732822840614,-10.172930973920606,0.0006217780919095528,-2.133910497432721,12,2.221211249713812e-05,0.1030613659411878,0.007762793091534398,3.1669878738013613,-0.07897035828500718
2026-04-13 12:00,1m,60000,17937,0.6168322172805198,-20.99431067527736,0.0003984548379554198,-2.6235538037369532,60,2.196275898341076e-05,0.6163711242951359,0.007773573463972977,8.175847358796556,-0.16320081635974068
2026-04-13 12:00,5m,300000,17697,3.0236353469045096,-22.239389604762017,9.864376896917548e-05,-1.4291398492923195,300,2.314398941821989e-05,3.0231206387068292,0.007825963652420534,17.523702074652928,-0.1740446546988866
2026-04-14 02:00,1s,1000,17998,0.0026972891206964084,14.176844085211867,0.004686087818459583,1.8560822797321046,12,-4.4638761053351736e-05,0.002064452365086013,0.0018303730594719345,0.37906524410246434,0.025948913481905842
2026-04-14 02:00,10s,10000,17989,0.013000262740843671,51.588678990133864,0.005480521272602679,1.7847336445251847,12,-4.438484144124958e-05,0.010710507403703055,0.001830795210654879,1.2758018893715217,0.09444830641914906
2026-04-14 02:00,1m,60000,17939,0.07184380706110426,80.07451863953055,0.0022013682080856967,1.857321313446604,60,-4.313171600571328e-05,0.06839005566384983,0.0018331868254873548,3.128633700064246,0.14679155262722904
2026-04-14 02:00,5m,300000,17699,0.3576382694531762,114.22675470389262,0.00098931703202354,2.9365447213899265,300,-4.2110145693714846e-05,0.3528281641704751,0.0018449913145007126,6.700302668910703,0.2107473703122853
2026-04-14 12:00,1s,1000,17995,0.0027266217843588364,4.1820548752463065,0.0022301660597110473,3.75566003261051,12,7.346345733494824e-05,0.0030338499942589056,0.010953477507246455,0.9700031550957318,0.045808044010080796
2026-04-14 12:00,10s,10000,17986,0.02062345300619195,6.3699753825576355,0.00045535072850921843,2.0339068212438187,12,7.321432561779969e-05,0.021089826458027892,0.010956211826197784,3.270582859409,0.06979079961896673
2026-04-14 12:00,1m,60000,17936,0.09473747506829523,2.407609205536607,9.725597712617606e-06,1.2832953450749918,60,7.297385988848792e-05,0.0949131676051263,0.010971451545199701,8.47016623605612,0.026414967738321634
2026-04-14 12:00,5m,300000,17696,0.7184785833556067,9.444292759220989,3.460161958190877e-05,1.8131477866201966,300,7.456763346011889e-05,0.7191828219163663,0.011045504288812619,17.73400294249355,0.1043169761767774
2026-04-15 00:00,1s,1000,17994,0.0014640801969506509,8.331294710396458,0.0012688668300350203,0.594266104604501,12,1.5020398435282514e-05,0.001589219562982567,0.0022539664804645775,0.5271715061605761,0.018778459016105455
2026-04-15 00:00,10s,10000,17985,0.013919165917366387,15.774092925923915,0.0004133298653544726,0.3926204293996026,12,1.527139622695206e-05,0.014160058340558933,0.0022544971700004975,1.7492250825663203,0.035562647860820334
2026-04-15 00:00,1m,60000,17935,0.07206415379766001,54.486575485284014,0.0007713810112689456,1.681576933266654,60,1.59330990128001e-05,0.07293229379973545,0.0022574897450066502,4.428746552960753,0.12300288539855941
2026-04-15 00:00,5m,300000,17695,0.05985672472366671,107.84643519522324,0.0005909457732177215,1.6917099857698958,300,1.883189543500328e-05,0.061887677514301014,0.002272363046418037,10.081141185843467,0.24506625402554286
2026-04-15 05:00,1s,1000,17998,-0.0024907611457463644,3.0809930717540195,0.0006610126388294502,1.0112921852897203,12,-2.1537771456047136e-05,-0.0025571188703834673,0.003983125108608573,0.4773201710078138,0.01227198086355249
2026-04-15 05:00,10s,10000,17989,-0.02522992518839108,14.994351239137531,0.0013532223439292057,1.840188763931657,12,-2.13642176724792e-05,-0.025550267772121625,0.003984112774870065,1.6239577380455181,0.059739186322736636
2026-04-15 05:00,1m,60000,17939,-0.15508711166454262,7.524646271719327,4.91497848366107e-05,0.6274213935282469,60,-2.175610968666496e-05,-0.1552508186941835,0.003989632056245231,4.282112994619285,0.030020569977557587
2026-04-15 05:00,5m,300000,17699,-0.9061140409824417,-8.327588740845448,1.2372909281799238e-05,-0.511144534044931,300,-2.4362362372485556e-05,-0.9059111612478482,0.004016262093233174,9.50835529673359,-0.03344577898789295
