window,horizon,label,n,avg_microprice_deviation_bps,avg_forward_drift_bps,median_forward_drift_bps
2026-04-12 09:00,1s,<-0.5bps,0,,,
2026-04-12 09:00,1s,"[-0.5,-0.1)bps",2,-0.3773245348694511326214180518,-15.37143865067573738577519496,-15.37143865067573738577519496
2026-04-12 09:00,1s,"[-0.1,0.1)bps",17996,-0.00002383791458743813085823707747,-0.005994896868845408005349859413,0
2026-04-12 09:00,1s,"[0.1,0.5)bps",0,,,
2026-04-12 09:00,1s,>=0.5bps,0,,,
2026-04-12 09:00,10s,<-0.5bps,0,,,
2026-04-12 09:00,10s,"[-0.5,-0.1)bps",2,-0.3773245348694511326214180518,-29.98571312038495549063316360,-29.98571312038495549063316360
2026-04-12 09:00,10s,"[-0.1,0.1)bps",17987,-0.00002391020863610435457959514579,-0.05606232795092619587604577400,0
2026-04-12 09:00,10s,"[0.1,0.5)bps",0,,,
2026-04-12 09:00,10s,>=0.5bps,0,,,
2026-04-12 09:00,1m,<-0.5bps,0,,,
2026-04-12 09:00,1m,"[-0.5,-0.1)bps",2,-0.3773245348694511326214180518,-17.73784259910103997337165109,-17.73784259910103997337165109
2026-04-12 09:00,1m,"[-0.1,0.1)bps",17937,-0.00002433866580108030499449477572,-0.3487725410794377032055194647,0
2026-04-12 09:00,1m,"[0.1,0.5)bps",0,,,
2026-04-12 09:00,1m,>=0.5bps,0,,,
2026-04-12 09:00,5m,<-0.5bps,0,,,
2026-04-12 09:00,5m,"[-0.5,-0.1)bps",2,-0.3773245348694511326214180518,-36.13635360918733118928911840,-36.13635360918733118928911840
2026-04-12 09:00,5m,"[-0.1,0.1)bps",17697,-0.00002405829828342034115259462667,-1.625219764744414876823255478,-0.6524980769859517584088064277
2026-04-12 09:00,5m,"[0.1,0.5)bps",0,,,
2026-04-12 09:00,5m,>=0.5bps,0,,,
2026-04-12 15:00,1s,<-0.5bps,0,,,
2026-04-12 15:00,1s,"[-0.5,-0.1)bps",0,,,
2026-04-12 15:00,1s,"[-0.1,0.1)bps",17997,0.00005153747052297738380022056733,0.003125067817145966272851939472,0
2026-04-12 15:00,1s,"[0.1,0.5)bps",0,,,
2026-04-12 15:00,1s,>=0.5bps,1,0.5714194147891204286628978691,0.6544222920272667051306707695,0.6544222920272667051306707695
2026-04-12 15:00,10s,<-0.5bps,0,,,
2026-04-12 15:00,10s,"[-0.5,-0.1)bps",0,,,
2026-04-12 15:00,10s,"[-0.1,0.1)bps",17988,0.00005145029457071520170307052218,0.02590670195547765583705626278,0
2026-04-12 15:00,10s,"[0.1,0.5)bps",0,,,
2026-04-12 15:00,10s,>=0.5bps,1,0.5714194147891204286628978691,4.296974727349818870530387126,4.296974727349818870530387126
2026-04-12 15:00,1m,<-0.5bps,0,,,
2026-04-12 15:00,1m,"[-0.5,-0.1)bps",0,,,
2026-04-12 15:00,1m,"[-0.1,0.1)bps",17938,0.00005051732642616033140422413672,0.1545366438013603611673692372,0
2026-04-12 15:00,1m,"[0.1,0.5)bps",0,,,
2026-04-12 15:00,1m,>=0.5bps,1,0.5714194147891204286628978691,-0.7261205452891154741138377066,-0.7261205452891154741138377066
2026-04-12 15:00,5m,<-0.5bps,0,,,
2026-04-12 15:00,5m,"[-0.5,-0.1)bps",0,,,
2026-04-12 15:00,5m,"[-0.1,0.1)bps",17698,0.00004843106943406821552613716474,0.7505880048072282176781257199,0.4722966637739083444176190905
2026-04-12 15:00,5m,"[0.1,0.5)bps",0,,,
2026-04-12 15:00,5m,>=0.5bps,1,0.5714194147891204286628978691,2.989535991398458965543225330,2.989535991398458965543225330
2026-04-13 02:00,1s,<-0.5bps,0,,,
2026-04-13 02:00,1s,"[-0.5,-0.1)bps",0,,,
2026-04-13 02:00,1s,"[-0.1,0.1)bps",17998,-0.0001065633829785908443796240160,-0.001994891452385772492108511588,0
2026-04-13 02:00,1s,"[0.1,0.5)bps",0,,,
2026-04-13 02:00,1s,>=0.5bps,0,,,
2026-04-13 02:00,10s,<-0.5bps,0,,,
2026-04-13 02:00,10s,"[-0.5,-0.1)bps",0,,,
2026-04-13 02:00,10s,"[-0.1,0.1)bps",17989,-0.0001067505921676709083645199101,-0.01583197803357782109716413648,0
2026-04-13 02:00,10s,"[0.1,0.5)bps",0,,,
2026-04-13 02:00,10s,>=0.5bps,0,,,
2026-04-13 02:00,1m,<-0.5bps,0,,,
2026-04-13 02:00,1m,"[-0.5,-0.1)bps",0,,,
2026-04-13 02:00,1m,"[-0.1,0.1)bps",17939,-0.0001062618873226996703996880932,-0.09441587446588842846470065059,0
2026-04-13 02:00,1m,"[0.1,0.5)bps",0,,,
2026-04-13 02:00,1m,>=0.5bps,0,,,
2026-04-13 02:00,5m,<-0.5bps,0,,,
2026-04-13 02:00,5m,"[-0.5,-0.1)bps",0,,,
2026-04-13 02:00,5m,"[-0.1,0.1)bps",17699,-0.0001095399867633444667342475964,-0.3953769092858140622718548749,0.09442743536988177755559926152
2026-04-13 02:00,5m,"[0.1,0.5)bps",0,,,
2026-04-13 02:00,5m,>=0.5bps,0,,,
2026-04-13 07:00,1s,<-0.5bps,0,,,
2026-04-13 07:00,1s,"[-0.5,-0.1)bps",0,,,
2026-04-13 07:00,1s,"[-0.1,0.1)bps",17998,-0.00001823190678071311657355575169,-0.002423684581612672380557923535,0
2026-04-13 07:00,1s,"[0.1,0.5)bps",0,,,
2026-04-13 07:00,1s,>=0.5bps,0,,,
2026-04-13 07:00,10s,<-0.5bps,0,,,
2026-04-13 07:00,10s,"[-0.5,-0.1)bps",0,,,
2026-04-13 07:00,10s,"[-0.1,0.1)bps",17989,-0.00001806070419417750268114082379,-0.01162918189770216538260216874,0
2026-04-13 07:00,10s,"[0.1,0.5)bps",0,,,
2026-04-13 07:00,10s,>=0.5bps,0,,,
2026-04-13 07:00,1m,<-0.5bps,0,,,
2026-04-13 07:00,1m,"[-0.5,-0.1)bps",0,,,
2026-04-13 07:00,1m,"[-0.1,0.1)bps",17939,-0.00001702067402556322529646541345,-0.04747259750018473705079135390,0
2026-04-13 07:00,1m,"[0.1,0.5)bps",0,,,
2026-04-13 07:00,1m,>=0.5bps,0,,,
2026-04-13 07:00,5m,<-0.5bps,0,,,
2026-04-13 07:00,5m,"[-0.5,-0.1)bps",0,,,
