session,fill_id,order_id,side,open_time_ms,open_price,quantity,open_mid,fee_remaining
2026-04-13 12:00,fill-000014,ord-000898,sell,1776085043407,71089.34000000,0.0005998724082934609250398724064,71082.22500000,0.008528906717958532695374800611
2026-04-13 13:00,fill-000012,ord-000550,sell,1776087071613,71146.00000000,0.0002543100278973205596764775848,71145.11500000,0.003618628248956553707748534850
2026-04-13 13:00,fill-000013,ord-000550,sell,1776087071665,71146.00000000,0.00012000,71146.17500000,0.00170750400000000000
2026-04-13 13:00,fill-000014,ord-000684,sell,1776087414714,71030.00000000,0.00048000,71029.99500000,0.00681888000000000000
2026-04-13 13:00,fill-000016,ord-000728,sell,1776087525470,70896.27000000,0.00088000,70894.26500000,0.01247774352000000000
2026-04-13 13:00,fill-000017,ord-000972,sell,1776088190311,71416.71000000,0.001,71412.68500000,0.014283342000000
2026-04-13 13:00,fill-000024,ord-001056,sell,1776088393379,71354.00000000,0.00056000,71351.99500000,0.00799164800000000000
2026-04-13 13:00,fill-000025,ord-001098,sell,1776088498476,71474.00000000,0.00008000,71471.99500000,0.00114358400000000000
2026-04-13 13:00,fill-000027,ord-001164,sell,1776088666026,71567.61000000,0.00032000,71564.00500000,0.00458032704000000000
2026-04-13 14:00,fill-000015,ord-000360,sell,1776089727393,71632.00000000,0.0004297815607694084494436579242,71629.79500000,0.006157222552206853210109620886
2026-04-13 14:00,fill-000017,ord-000384,sell,1776089782524,71708.00000000,0.00008000,71699.05500000,0.00114732800000000000
2026-04-13 14:00,fill-000021,ord-000630,sell,1776090413177,71636.00000000,0.001,71633.99500000,0.014327200000000
2026-04-13 14:00,fill-000022,ord-000634,sell,1776090418365,71648.00000000,0.001,71645.99500000,0.014329600000000
2026-04-13 14:00,fill-000023,ord-000658,sell,1776090474047,71652.01000000,0.000730000000000000000000000003,71650.00500000,0.01046119346000000000000000004
2026-04-13 14:00,fill-000025,ord-000672,sell,1776090511142,71682.91000000,0.00008000,71678.98500000,0.00114692656000000000
2026-04-13 14:00,fill-000026,ord-000688,sell,1776090552283,71630.00000000,0.0000780265019620661562175107972,71629.99500000,0.001117807667108559753972059681
2026-04-13 14:00,fill-000027,ord-000706,sell,1776090598789,71638.00000000,0.001,71635.99500000,0.014327600000000
2026-04-13 14:00,fill-000032,ord-000820,sell,1776090888256,71769.31000000,0.00020000,71769.22500000,0.00287077240000000000
2026-04-13 14:00,fill-000033,ord-000890,sell,1776091075852,71784.00000000,0.00048000,71781.99500000,0.00689126400000000000
2026-04-13 14:00,fill-000034,ord-000932,sell,1776091201224,71806.00000000,0.001,71805.99500000,0.014361200000000
2026-04-13 14:00,fill-000035,ord-000992,sell,1776091358170,71777.61000000,0.001,71775.60500000,0.014355522000000
2026-04-13 14:00,fill-000036,ord-001015,sell,1776091375403,71802.00000000,0.001,71799.99500000,0.014360400000000
2026-04-13 14:00,fill-000040,ord-001166,sell,1776092022772,71952.00000000,0.001,71949.99500000,0.014390400000000
2026-04-13 15:00,fill-000018,ord-001222,sell,1776095835015,71760.01000000,0.0001209776311512932253634848382,71758.95500000,0.001736271204238622673003185124
2026-04-13 15:00,fill-000019,ord-001224,sell,1776095845123,71766.00000000,0.0008411214953271028037383177572,71763.99500000,0.01207278504672897196261682243
2026-04-13 15:00,fill-000020,ord-001230,sell,1776095859692,71762.40000000,0.001,71755.40500000,0.014352480000000
2026-04-13 16:00,fill-000031,ord-001069,buy,1776098881576,72396.70000000,0.0001743787537493382631657505284,72400.07500000,0.002524889264312943487386378256
2026-04-13 16:00,fill-000032,ord-001077,buy,1776098903055,72416.82000000,0.001,72418.82500000,0.014483364000000
2026-04-13 16:00,fill-000034,ord-001145,buy,1776099087338,72372.00000000,0.001,72372.00500000,0.014474400000000
2026-04-13 16:00,fill-000035,ord-001159,buy,1776099120249,72292.00000000,0.001,72294.00500000,0.014458400000000
2026-04-13 16:00,fill-000037,ord-001177,buy,1776099160643,72289.99000000,0.0001892537313432835820895522391,72289.99500000,0.002736230069253731343283582094
