source,run_dir,window,session,row_id,open_fill_id,close_fill_id,open_side,close_side,open_time_ms,close_time_ms,primary_timestamp_ms,hold_time_ms,quantity,net_pnl,realized_pnl,total_fees,inventory_pnl,net_pnl_per_btc,primary_nearest_boundary,primary_nearest_boundary_hhmm_utc,primary_boundary_signed_delta_ms,primary_boundary_abs_delta_ms,primary_within_30m_boundary,open_nearest_boundary,open_nearest_boundary_hhmm_utc,open_boundary_signed_delta_ms,open_boundary_abs_delta_ms,open_within_30m_boundary,close_nearest_boundary,close_nearest_boundary_hhmm_utc,close_boundary_signed_delta_ms,close_boundary_abs_delta_ms,close_within_30m_boundary,pooled_tail_rank,is_pooled_tail_1pct,is_pooled_tail_5pct,is_pooled_tail_10pct,window_tail_rank,is_window_tail_1pct,is_window_tail_5pct,is_window_tail_10pct
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 09:00:fill-000001:fill-000002:1,fill-000001,fill-000002,buy,sell,1775984603985,1775984610029,1775984610029,6044,0.00007000000000000000000000000000,-0.001862616140000000000000000000,0.0001407000000000000000000000000,0.002003316140000000000000000000,-0.0001400000000000000000000000000,-26.608802,London,07:00,7410029,7410029,False,London,07:00,7403985,7403985,False,London,07:00,7410029,7410029,False,771,False,False,False,24,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 09:00:fill-000001:fill-000004:2,fill-000001,fill-000004,buy,sell,1775984603985,1775985743345,1775985743345,1139360,0.0009300000000000000000000000000,0.03475261200000000000000000000,0.06138000000000000000000000000,0.02662738800000000000000000000,0.05951070000000000000000000000,37.3684,London,07:00,8543345,8543345,False,London,07:00,7403985,7403985,False,London,07:00,8543345,8543345,False,1067,False,False,False,36,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 09:00:fill-000003:fill-000004:3,fill-000003,fill-000004,buy,sell,1775985097080,1775985743345,1775985743345,646265,0.0000505882352941176470588235293,0.000372450823529411764705882352,0.001821176470588235294117647055,0.001448725647058823529411764703,0.001719494117647058823529411761,7.362399999999999999999999998,London,07:00,8543345,8543345,False,London,07:00,7897080,7897080,False,London,07:00,8543345,8543345,False,933,False,False,False,31,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 09:00:fill-000003:fill-000007:4,fill-000003,fill-000007,buy,sell,1775985097080,1775987367312,1775987367312,2270232,0.0000394117647058823529411764707,-0.003177376470588235294117647067,-0.002049411764705882352941176476,0.001127964705882352941176470591,-0.002207452941176470588235294124,-80.61999999999999999999999998,London,07:00,10167312,10167312,False,London,07:00,7897080,7897080,False,London,07:00,10167312,10167312,False,484,False,False,False,13,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 09:00:fill-000005:fill-000007:5,fill-000005,fill-000007,buy,sell,1775986621009,1775987367312,1775987367312,746303,0.0001005882352941176470588235293,-0.01153010752941176470588235293,-0.008650588235294117647058823520,0.002879519294117647058823529409,-0.009053947058823529411764705872,-114.6268000000000000000000000,London,07:00,10167312,10167312,False,London,07:00,9421009,9421009,False,London,07:00,10167312,10167312,False,372,False,False,False,9,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 09:00:fill-000005:fill-000008:6,fill-000005,fill-000008,buy,sell,1775986621009,1775987367322,1775987367322,746313,0.00086000,-0.09857904799999999999999999999,-0.0739600000000000,0.02461904799999999999999999999,-0.0756886000000000,-114.6268000000000000000000000,London,07:00,10167322,10167322,False,London,07:00,9421009,9421009,False,London,07:00,10167322,10167322,False,373,False,False,False,10,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000001:fill-000003:7,fill-000001,fill-000003,sell,buy,1775988308456,1775989512531,1775989512531,1204075,0.00008000,-0.01034434128000000000,-0.0080536000000000,0.00229074128000000000,-0.0083744000000000,-129.304266000000,US cash open,13:30,-11087469,11087469,False,London,07:00,11108456,11108456,False,US cash open,13:30,-11087469,11087469,False,330,False,False,False,8,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000002:fill-000003:8,fill-000002,fill-000003,sell,buy,1775988503625,1775989512531,1775989512531,1008906,0.00006000,-0.003758856000000000000000000000,-0.0020400000000000,0.001718856000000000000000000000,-0.0022122000000000,-62.6476000000000000000000,US cash open,13:30,-11087469,11087469,False,London,07:00,11303625,11303625,False,US cash open,13:30,-11087469,11087469,False,583,False,False,False,17,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000002:fill-000004:9,fill-000002,fill-000004,sell,buy,1775988503625,1775989583315,1775989583315,1079690,0.000010000000000000000000000004,-0.0006263759800000000000000002505,-0.0003399000000000000000000001360,0.0002864759800000000000000001145,-0.0003487000000000000000000001396,-62.63759799999999999999999999,US cash open,13:30,-11016685,11016685,False,London,07:00,11303625,11303625,False,US cash open,13:30,-11016685,11016685,False,584,False,False,False,18,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000004:fill-000007:10,fill-000004,fill-000007,buy,sell,1775989583315,1775990254260,1775990254260,670945,0.000469999999999999999999999996,-0.04967852247999999999999999957,-0.03621819999999999999999999969,0.01346032247999999999999999988,-0.03716759999999999999999999968,-105.6989840000000000000000000,US cash open,13:30,-10345740,10345740,False,US cash open,13:30,-11016685,11016685,False,US cash open,13:30,-10345740,10345740,False,394,False,False,False,11,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000005:fill-000007:11,fill-000005,fill-000007,buy,sell,1775989675573,1775990254260,1775990254260,578687,0.00008000,-0.00709644688000000000,-0.0048056000000000,0.00229084688000000000,-0.0051264000000000,-88.705586000000,US cash open,13:30,-10345740,10345740,False,US cash open,13:30,-10924427,10924427,False,US cash open,13:30,-10345740,10345740,False,451,False,False,False,12,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000006:fill-000007:12,fill-000006,fill-000007,buy,sell,1775989803625,1775990254260,1775990254260,450635,0.000010000000000000000000000004,-0.0007045193600000000000000002817,-0.0004182000000000000000000001673,0.0002863193600000000000000001144,-0.0004583000000000000000000001833,-70.45193599999999999999999999,US cash open,13:30,-10345740,10345740,False,US cash open,13:30,-10796375,10796375,False,US cash open,13:30,-10345740,10345740,False,535,False,False,False,15,False,False,False
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000006:fill-000011:13,fill-000006,fill-000011,buy,sell,1775989803625,1775991237645,1775991237645,1434020,0.000069999999999999999999999996,-0.01591383863999999999999999910,-0.01391179999999999999999999921,0.002002038639999999999999999886,-0.01419249999999999999999999919,-227.3405520000000000000000001,US cash open,13:30,-9362355,9362355,False,US cash open,13:30,-10796375,10796375,False,US cash open,13:30,-9362355,9362355,False,141,False,False,True,1,True,True,True
matched_lot,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,2026-04-12 09:00,2026-04-12 10:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000:2026-04-12 10:00:fill-000008:fill-000011:14,fill-000008,fill-000011,buy,sell,1775990324415,1775991237645,1775991237645,913230,0.000930000000000000000000000004,-0.1604990298600000000000000007,-0.1339107000000000000000000006,0.02658832986000000000000000012,-0.1357800000000000000000000006,-172.5796020000000000000000000,US cash open,13:30,-9362355,9362355,False,US cash open,13:30,-10275585,10275585,False,US cash open,13:30,-9362355,9362355,False,209,False,False,False,2,False,True,True
