window,run_dir,net_pnl,matched_net_pnl,residual_inventory_pnl,loss_source_label,fills,matched_lots,fill_metric_mean,fill_metric_median,fill_tail_5pct_n,fill_tail_5pct_metric_sum,fill_tail_5pct_share_total,fill_tail_10pct_n,fill_tail_10pct_metric_sum,fill_pooled_tail_5pct_rows,fill_tail_5pct_clusters_120s,fill_tail_5pct_largest_cluster_rows_120s,fill_tail_5pct_worst_cluster_share_total_120s,fill_tail_5pct_worst_cluster_share_negative_120s,fill_tail_5pct_worst_cluster_share_tail_120s,matched_metric_mean,matched_metric_median,matched_tail_5pct_n,matched_tail_5pct_metric_sum,matched_tail_5pct_share_total,matched_tail_10pct_n,matched_tail_10pct_metric_sum,matched_pooled_tail_5pct_rows,matched_tail_5pct_clusters_120s,matched_tail_5pct_largest_cluster_rows_120s,matched_tail_5pct_worst_cluster_share_total_120s,matched_tail_5pct_worst_cluster_share_negative_120s,matched_tail_5pct_worst_cluster_share_tail_120s
2026-04-12 09:00,btcusdt_microprice_20260412_09_5h_5sessions_hs2.00_rq5000,-0.6039282579315732522605070252,-0.4803489493461186716983650293,-0.0558374257348591472942239447,matched_and_residual_loss,56,43,-1.088498345935806508653856114,-0.8528000377391019820623388490,3,-21.71090629327521568398962092,0.3561739498131690062241395809,6,-37.65406145871954949383023456,0,3,1,0.1257129678974011695517722579,0.08631964238871583117007248586,0.3529538529231121160051603194,-41.54503260465116279069767456,-42.56120000000000000000000000,2,-399.9201540000000000000000001,0.2238647586627044112371373402,4,-708.6877560000000000000000001,0,1,2,0.2238647586627044112371373402,0.1671733673371879777203801795,1
2026-04-12 15:00,btcusdt_microprice_20260412_15_5h_5sessions_hs2.00_rq5000,-0.1434721855835036913370873710,-0.1434974886069427358532795421,0.07166955868266143438721027768,matched_loss,35,21,-2.049324640141095889905290145,-2.061661986314915160384448048,2,-26.02964589499561243735974142,0.3629020770360922797136544241,4,-38.51063189811767428666247900,2,1,2,0.3629020770360922797136544241,0.2822258934114357526185847365,1,-31.36920552380952380952380953,-40.42559200000000000000000000,1,-98.160058000000,0.1490088256345111134135072801,2,-176.644052000000,0,1,1,0.1490088256345111134135072801,0.1188644976188437568903163190,1
2026-04-13 02:00,btcusdt_microprice_20260413_02_5h_5sessions_hs2.00_rq5000,-0.3536132570320134264066013252,-0.05583961164461744966442953010,-0.2165330248939635397447410469,matched_and_residual_loss,48,26,-1.785034365185862792358097732,-1.530683508951383174722757592,2,-14.69513583952390343019749290,0.1715085542857532583037585449,5,-31.30302417000441609331563598,0,2,1,0.09461072500041165269332773908,0.08328137772526751988398694262,0.5516385196902724063895398126,-14.84038992307692307692307692,-11.69833500000000,1,-134.450000000000,0.3484513461545010513900606665,3,-364.2562020000000000000000000,0,1,1,0.3484513461545010513900606665,0.1567125902587300038260717444,1
2026-04-13 07:00,btcusdt_microprice_20260413_07_5h_5sessions_hs2.00_rq5000,-0.5452287144905744789018811501,-0.5372451638011184544992374174,0.0895387683735481600250282395,matched_loss,50,30,-1.357450333809620411513848700,-1.311354205148633786349310407,3,-20.84240620284563565996421643,0.3070816763417399522868011495,5,-29.95172191676137403645648164,0,2,2,0.2119505661247742232816948474,0.1680969884380933556150521197,0.6902090956703720734524899659,-66.569696244444444444444445,-62.54795200000000,2,-368.6451900000000000000000000,0.1845910931436089596551231023,3,-540.9147900000000000000000169,0,2,1,0.09630327854372654155128151221,0.08853645590252743418321357424,0.5217114049419714387159100055
2026-04-13 12:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,-11.84696232071502762687304328,-3.213174836601662499879171714,-8.408123683957860005829501962,matched_and_residual_loss,143,111,-1.104150119496714948368658161,-0.8508276463214058687591726412,7,-112.0986268112971752588084065,0.7149634233931547492739468889,14,-177.7163640697530964728871831,8,6,2,0.3134707764744294303848369897,0.1210837786292337949961672541,0.4384430954337833938795421586,-124.1468294954954954954954955,-88.36720000000000000000000000,6,-3335.679920000000000000000000,0.2420615216076929106344960474,11,-5628.857932000000000000000000,17,3,3,0.1162420961722369779851251133,0.09594228598764365599872939589,0.4802171588453846614875446443
2026-04-14 02:00,btcusdt_microprice_20260414_02_5h_5sessions_hs2.00_rq5000,-0.8110620469178934409861498778,-0.6166512068038383877421547309,-0.1417636119084346960597108466,matched_and_residual_loss,58,45,-1.289697640460996120005889288,-1.326388560855085094893112276,3,-16.31492421274857015255262429,0.2181067778576230419839988799,6,-29.61269921854082878241384242,0,3,1,0.08099557676330029482647101854,0.06136570245557151441949577389,0.3713574495890863090717227155,-47.49129711111111111111111111,-30.88806800000000000000000000,2,-443.745246000000,0.2076381582839432705043404046,5,-946.798004000000,0,1,2,0.2076381582839432705043404046,0.1728667203019574335985128792,1
2026-04-14 12:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,0.140506114902250230408138972,-2.075408952581586502098300587,2.587131713884304935935858436,not_loss_window,168,106,-1.326424601449455951355722977,-0.6634056093137893243147395631,8,-138.7231676107652118733475171,0.6262531993572323050159648332,17,-240.6269870701482754597542926,15,7,2,0.1591831280510217804409248110,0.06950603427902048309861576124,0.2541833370502579756878994545,-42.65642926415094339622641509,-92.02840400000000000000000000,5,-3126.873690000000000000000000,0.6915442503064274080622333544,11,-6491.037894000000000000000000,21,3,2,0.2847661344665506374411030134,0.08018180294610924315562036010,0.4117829543667943939238556195
2026-04-15 00:00,btcusdt_microprice_20260415_00_5h_5sessions_hs2.00_rq5000,-1.455462183085710809858808470,-1.038608826158567296237525369,-0.3070913214164706556132296709,matched_and_residual_loss,57,43,-1.29543584033932996655446551,-1.687954732220674184953010654,3,-30.68587855245432394218358022,0.4306852159068983433571051867,6,-47.46839350340860541173793852,1,3,1,0.1908829429492785036836932722,0.1139554498625465403833587169,0.4432075583261763542877513571,-91.37929711627906976744186047,-65.85799800,2,-855.5208000000000000000000000,0.2177280104575801712000219756,4,-1648.584094000000000000000000,4,1,2,0.2177280104575801712000219756,0.1981489707193859193114336006,1
2026-04-15 05:00,btcusdt_microprice_20260415_05_5h_5sessions_hs2.00_rq5000,-0.8623812668443486122449346337,-0.9756107956153380075430546259,0.4281935236952477646086272069,matched_loss,77,37,-1.483480419433686459365545453,-1.098170804335834531553870862,4,-47.18001842883870496493656122,0.4184684260314771559139422682,8,-71.66114015800060177182745607,1,4,1,0.1928359021071041486617693605,0.1356679528736589770876721927,0.4608135049419452499373549965,-102.3260633513513513513513514,-93.59040000000000000000000000,2,-726.758540000000000000000,0.1919562041125204923352987791,4,-1347.861238000000000000000,2,2,1,0.1008819505683498758836730430,0.08047362883833009315912646138,0.5255467049620084271730745675
2026-04-15 12:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,0.1062368715375894162227755741,0.1854481303334920238934235750,0.0630760509015314942615004469,not_loss_window,154,129,-1.949981894847127205126849044,-1.528509590314326879089231099,8,-109.0728984974472388674991921,0.3632164875634777234340671936,15,-172.0687614176724761740639676,8,6,2,0.1189155732649964835251165309,0.07840354092736178134265710866,0.3273958571173455881557752474,-0.9978640465116279069767441860,-35.28526000000000000000000000,6,-1639.268416000000000000000000,12.73470784441887976195231641,13,-3302.531234000000000000000000,0,4,2,4.218498920585894544270847292,0.06444925709912150777162535520,0.3312599685932093258850416355
